Project.Number,County,System.Name,Borrower,Description,Pop,Project.Cost,Score,Cumulative.Total
19109,Niagara,ROYALTON (T),Royalton (T),"Replacement of WM in Hamlet of Gasport, Upgrade Distribution System",1396,6430000,25,3947285232
18921,Niagara,NEWFANE WD#4,Newfane (T),"Approximately 2,400 ft main replacement, Upgrade Distribution System",6196,1102615,25,3948387847
19511,Niagara,PENDLETON (T),Pendleton (T),"Replacement of WM on Campbell Blvd, New Distribution System",7035,1886000,10,3950273847
19782,NY City,NEW YORK CITY,NYCMWFA,"Hillview Reservoir Improvements - Chemical Storage and Feed Bldgs (HVR-200 & HVR-210), Upgrade Surface Water Treatment Rule Compliance Facility",8271000,75000000,130,4025273847
19786,NY City,NEW YORK CITY,NYCMWFA,"Hillview Reservoir Improvements - Phase 2 of DWSRF #19782, Upgrade Surface Water Treatment Rule Compliance Facility",8271000,1145000000,130,5170273847
19739,NY City,NEW YORK CITY,NYCMWFA,"3rd City Tunnel, Stage 2 Bkln/Qns, Shaft 17B-1 & 18B-1 [Phase 4 of DWSRF 18828)], New Transmission",8271000,66000000,85,5236273847
19502,NY City,NEW YORK CITY,NYCMWFA,"3rd City Tunnel, Stage 2 Bkln/Qns, Shaft 17B-1 & 18B-1 [Phase 3 of DWSRF 18828)], New Transmission",8271000,75000000,85,5311273847
19504,NY City,NEW YORK CITY,NYCMWFA,"Kensico-Eastview Connection - Phase 2, Upgrade Transmission",8271000,100000000,50,5411273847
19740,NY City,NEW YORK CITY,NYCMWFA,"Kensico-Eastview Connection - Phase 3, Upgrade Transmission",8271000,1500000000,50,6911273847
19316,NY City,NEW YORK CITY,NYCMWFA,"Lead service line replacement (Area A), Upgrade Distribution System",49440,7218660,40,6918492507
19317,NY City,NEW YORK CITY,NYCMWFA,"Lead service line replacement (Area B), Upgrade Distribution System",72903,12022780,40,6930515287
19318,NY City,NEW YORK CITY,NYCMWFA,"Lead service line replacement (Area C), Upgrade Distribution System",24872,5686580,40,6936201867
19319,NY City,NEW YORK CITY,NYCMWFA,"Lead service line replacement (Area D), Upgrade Distribution System",15929,9780120,40,6945981987
19320,NY City,NEW YORK CITY,NYCMWFA,"Lead service line replacement (Area E), Upgrade Distribution System",37749,14411320,40,6960393307
19321,NY City,NEW YORK CITY,NYCMWFA,"Lead service line replacement (Area F), Upgrade Distribution System",15168,8365970,40,6968759277
19594,NY City,NEW YORK CITY,NYCMWFA,"Lead Service Line Replacement (Area H), Upgrade Distribution System",71010,7580503,40,6976339780
19595,NY City,NEW YORK CITY,NYCMWFA,"Lead Service Line Replacement (Area G), Upgrade Distribution System",59637,11354131,40,6987693911
19596,NY City,NEW YORK CITY,NYCMWFA,"Lead Service Line Replacement (Area I), Upgrade Distribution System",76002,8744177,40,6996438088
19599,NY City,NEW YORK CITY,NYCMWFA,"Lead Service Line Replacement (Area J), Upgrade Distribution System",82433,5984608,40,7002422696
19602,NY City,NEW YORK CITY,NYCMWFA,"Lead Service Line Inventory, Upgrade Distribution System",215564,4716862,20,7007139558
18596,Oneida,VERONA WATER DISTRICT NO. 3,Verona (T),"Extension of water distribution system, new pump station and storage tank, rehab to existing storage tank, Upgrade Storage, New Pump Station, Extend Distribution System",1795,0,1160,7007139558
18289,Oneida,ROME CITY,Rome (C),"NW Rome Re-Phase 3 Water Project, New Storage, New Pump Station, New Distribution System",32000,11235000,120,7018374558
19838,Oneida,MOHAWK VALLEY WA,MVWA,"Phase 1b Eastern Mohawk Valley Regional Transmission Main Upgrades, New Distribution System",18902,19893000,100,7038267558
19182,Oneida,TRENTON (T),Trenton (T),"Hamlet of Barneveld distribution and storage improvements, MVWA connection, Upgrade Storage, Upgrade Distribution System",300,11113000,100,7049380558
16889,Oneida,WESTMORELAND (T),Westmoreland (T),"New system to serve area with private contaminated wells, consolidate public water supply, New Complete System (New System)",300,7265000,95,7056645558
19798,Oneida,VIENNA FAR EAST WATER DISTRICT,Vienna (T),"New Far East Water District, New Water District",162,9925000,90,7066570558
18805,Oneida,VERNON (T) CENTER WD,Vernon (T),"Vernon Center WD, Serve area with private contaminated wells, New Water District",800,11198605,85,7077769163
18131,Oneida,SAUQUOIT CONSOLIDATED WD (T/O/PARIS),Paris (T),"Sauquoit WD Upgrades, New Water Treatment Plant, New Ground Water Source, Upgrade Transmission",2639,5250000,70,7083019163
18883,Oneida,ORISKANY FALLS VILLAGE,Oriskany Falls (V),"Booster pump station and water main upgrades on Cooper, College, and Cottage Streets, New Pump Station, Upgrade Distribution System, New Distribution System",682,1300000,60,7084319163
18922,Oneida,MOHAWK VALLEY WATER AUTHORITY,MVWA,"Phase 3 RW Transmission Main Upgrades, New Transmission",120000,55600000,45,7139919163
18929,Oneida,MOHAWK VALLEY WATER AUTHORITY,MVWA,"Hanger Zone Tank Reconfiguration and main replacement, New Storage, Upgrade Storage, Upgrade Distribution System",130000,14700000,45,7154619163
19437,Oneida,BOONVILLE (V),Boonville (V),"Lead service line inventory, Upgrade Distribution System",2500,762000,40,7155381163
19881,Oneida,MOHAWK VALLEY WATER AUTH,MVWA,"Lead service line replacement, Upgrade Distribution System",35000,12740000,40,7168121163
19610,Oneida,MOHAWK VALLEY WATER AUTHORITY,MVWA,"Lead Service Line Inventory, Upgrade Distribution System",64723,2335000,40,7170456163
18335,Oneida,MOHAWK VALLEY WATER AUTHORITY,MVWA,"Toby Road Tank 3, New Storage",130000,19100000,40,7189556163
18947,Oneida,WATERVILLE (V),Waterville (V),"Relocation of booster pump station, Upgrade Pump Station",1526,400000,35,7189956163
18938,Oneida,WATERVILLE (V),Waterville (V),"Stafford Ave Area WM Replacement, Upgrade Distribution System",1526,4400000,35,7194356163
19472,Oneida,ROME (C),Rome (C),"Lead service line inventory, Upgrade Distribution System",30000,412000,35,7194768163
19535,Oneida,ROME (C),Rome (C),"Boyd Dam Rehabilitation, Upgrade Surface Water Source",37300,3100000,35,7197868163
19536,Oneida,ROME (C),Rome (C),"Kessinger Dam Rehabilitation, Upgrade Surface Water Source",37300,14400000,35,7212268163
19286,Oneida,SHERRILL - KENWOOD WD,Sherrill (C),"Lead service line inventory, Upgrade Distribution System",3500,25750,20,7212293913
18721,Onondaga,JORDAN VILLAGE,Jordan (V),"Village's share of Elbridge (V) / Elbridge (T) / Jordan (V) Joint Water System Upgrades, Upgrade Storage, Upgrade Distribution System, New System Consolidation",1400,3500000,1185,7215793913
18719,Onondaga,ELBRIDGE (T),Elbridge (T),"Town's share of Elbridge (V) / Elbridge (T) / Jordan (V) Joint Water System Upgrades, Upgrade Storage, Upgrade Distribution System, New System Consolidation",1000,5000000,1180,7220793913
18720,Onondaga,ELBRIDGE (V),Elbridge (V),"Village's share of Elbridge (V) / Elbridge (T) / Jordan (V) Joint Water System Upgrades, Upgrade Storage, Upgrade Distribution System, New System Consolidation",1100,3500000,1180,7224293913
18915,Onondaga,CARDIFF WATER DISTRICT,LaFayette (T),"Cardiff Water District Improvements and Consolidation Project, New Storage, New Inter-Connection",70,4894000,135,7229187913
19541,Onondaga,ROUTE 11A WATER DISTRICT,Tully (T),"Route 11A WD Improvements and Consolidation Project, Upgrade Water District",26,2747000,120,7231934913
19100,Onondaga,SKANEATELES WDS,Skaneateles (T),"New Water District, Watermain Extension, and Water Storage Tank near Andrews Road, New Storage, Upgrade Distribution System, New Water District",3500,7877500,80,7239812413
19165,Onondaga,SYRACUSE CITY,Syracuse (C),"Guilford, Brookford and Westminster Booster Pump Station Replacement, New Pump Station",192000,3707200,55,7243519613
18534,Onondaga,SKYRIDGE/ SALT SPRINGS JOINT PROJECT,Manlius (T),"Skyridge WD/Salt Springs WD Joint Water Project, New System Consolidation, New Water District",100,13700000,55,7257219613
18305,Onondaga,ONONDAGA COUNTY WATER AUTHORITY,OCWA,"Lake Ontario Water Treatment Plant Improvements Phase 3 - Clearwells, Upgrade Water Treatment Plant",500000,33250000,50,7290469613
18706,Onondaga,SYRACUSE CITY,Syracuse (C),"Intake No. 2 Extension, Upgrade Surface Water Source",192000,14011500,50,7304481113
19162,Onondaga,SYRACUSE CITY,Syracuse (C),"Bowe's Gatehouse Replacement, Upgrade Transmission",192000,6077000,50,7310558113
18913,Onondaga,ONONDAGA COUNTY WATER AUTHORITY,OCWA,"Replacement of Solvay Potable Water Pump Station, New Pump Station",340000,2640000,45,7313198113
19284,Onondaga,BUSSEY AND NORTON ROADS WD EXTENSION,Onondaga (T),"Bussey and Norton Roads Consolidated Water Supply District Extension, New Water District",156,2531311,45,7315729424
19172,Onondaga,SYRACUSE CITY,Syracuse (C),"Shove Park Blow-Off Replacement and Stream Crossing Upgrades, Upgrade Transmission",192000,500000,45,7316229424
19166,Onondaga,SYRACUSE CITY,Syracuse (C),"PRV Replacement Project, Upgrade Other Expenses, Upgrade Other (OT)",192000,746750,45,7316976174
19331,Onondaga,SYRACUSE CITY,Syracuse (C),"Mosley Pump Station Replacement and Distribution Upgrades, Upgrade Pump Station, Upgrade Distribution System",146000,13546560,45,7330522734
18559,Onondaga,SYRACUSE CITY,Syracuse (C),"Transmission conduit sections replacement, Upgrade Transmission",192000,1671175,45,7332193909
19248,Onondaga,SYRACUSE CITY,Syracuse (C),"Replacement of Skaneateles Creek Weir Flume, Upgrade Other Expenses, Upgrade Other (OT)",192000,310000,45,7332503909
18543,Onondaga,SYRACUSE CITY,Syracuse (C),"Replace chlorine gas systems with NaOCl, Upgrade Water Treatment Plant",192000,3543200,45,7336047109
19163,Onondaga,SYRACUSE CITY,Syracuse (C),"Camillus Ravine Rehabilitation Project - Transmission Main, Upgrade Transmission",192000,1030000,40,7337077109
19407,Onondaga,SYRACUSE CITY,Syracuse (C),"Lead Service Line Inventory, Upgrade Distribution System",160000,2266000,40,7339343109
19408,Onondaga,SYRACUSE CITY,Syracuse (C),"Lead Service Line Replacement, Upgrade Distribution System",8600,41341728,40,7380684837
18912,Onondaga,ONONDAGA COUNTY WATER AUTHORITY,OCWA,"Salt Springs Water Storage - New Tank and Rehab Existing Tank, Upgrade Storage, New Storage",100000,3523000,35,7384207837
18848,Onondaga,TOWN OF DEWITT CONSOLIDATED WD NO. 1,DeWitt (T),"2020 Water System Improvements, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System",25000,5900000,35,7390107837
18440,Onondaga,ONONDAGA COUNTY WATER AUTHORITY,OCWA,"Oakridge Storage Tank Replacement, Upgrade Storage",1500,2400000,30,7392507837
19400,Onondaga,JORDAN (V),Jordan (V),"Lead Service Line Inventory, Upgrade Distribution System",3600,313200,30,7392821037
19174,Onondaga,SYRACUSE CITY,Syracuse (C),Water Department Security Fence Improvements,192000,1184500,30,7394005537
18914,Onondaga,ONONDAGA COUNTY WATER AUTHORITY,OCWA,"Replacement of Warners Water Storage Tank, New Storage",5000,1081500,30,7395087037
18990,Onondaga,ONONDAGA COUNTY WATER AUTHORITY,OCWA,"Tug Hill Booster Pump Station, New Pump Station",500000,2000000,25,7397087037
19403,Onondaga,ELBRIDGE (V),Elbridge (V),"Lead Service Line Inventory, Upgrade Distribution System",3600,288144,25,7397375181
19401,Onondaga,ELBRIDGE (T),Elbridge (T),"Lead Service Line Inventory, Upgrade Distribution System",3600,442656,25,7397817837
19614,Onondaga,ONONDAGA COUNTY WATER AUTHORITY,OCWA,"Lead Service Line Inventory, Upgrade Distribution System",500000,1143000,20,7398960837
18989,Onondaga,ONONDAGA COUNTY WATER AUTHORITY,OCWA,"Lake Ontario WTP Distribution Garage, Upgrade Other Expenses, Upgrade Other (OT)",500000,3000000,15,7401960837
19125,Ontario,RUSHVILLE (V),Rushville (V),"WTP Improvements to address harmful algal blooms and cyanotoxins, Upgrade Water Treatment Plant",2028,1500000,80,7403460837
19203,Ontario,MARBLETOWN-WHITE RD. WD,Phelps (T),"White Road WD Extension and Watermain Replacement, Upgrade Distribution System, Extend Water District",80,604776,65,7404065612
19158,Ontario,TOWN OF BRISTOL WD NO. 1,Bristol (T),"Day Road Tank Improvements to Address DBPs, Upgrade Storage",2136,333720,55,7404399332
19036,Ontario,GORHAM TOWN WATER DISTRICT,Gorham (T),"Comprehensive WTP Improvements, Upgrade Water Treatment Plant, Upgrade Pump Station",4373,0,50,7404399332
19826,Ontario,GENEVA (C),Geneva (C),"Filtration upgrade at water treatment plant, Upgrade Water Treatment Plant",14500,14667200,45,7419066532
19738,Ontario,GORHAM TOWN WATER DISTRICT,Gorham (T),"Town-wide water main replacement, new interconnection, replace County Rd 1 Water Storage Tank, Upgrade Storage, Upgrade Distribution System",4373,11029000,40,7430095532
19768,Ontario,GENEVA CITY WD,Geneva (C),"Construction of GAC filters to remove PFAS, Upgrade Water Treatment Plant",14500,14667200,40,7444762732
19292,Ontario,CANANDAIGUA (C),Canandaigua (C),"Lead Service Line Inventory, Upgrade Distribution System",11000,869300,35,7445632032
19516,Ontario,CANANDAIGUA (C),Canandaigua (C),"Rehabilitation of settling basin equipment, New Other Expenses, New Other (OT)",39239,1266000,35,7446898032
19809,Ontario,TOWN OF CANANDAIGUA WS,Canandaigua (T),"Replacement of Asbestos Cement Pipe transmission main, installation of new surface aspirators, Upgrade Transmission",6650,8520000,30,7455418032
19771,Ontario,CANANDAIGUA-FARMINGTON WD,Farmington (T),"Replacement of existing water main along County Road 8, Upgrade Distribution System",15000,2116979,10,7457535011
18583,Orange,PINE BUSH WATER DISTRICT,Crawford (T),"Develop new groundwater source, new treatment building, and 8,700 ft of water main, New Water Treatment Plant, New Ground Water Source, New Transmission",7000,0,1085,7457535011
18985,Orange,BLOOMING GROVE WD #1-WORLEY HE,South Blooming Grove (V),"Phase 1 Improvements - Two new wells, water main replacement, new pump station, new storage tank, New Ground Water Source, New Storage, New Pump Station, Upgrade Distribution System",1500,7837762,85,7465372773
18188,Orange,GOSHEN VILLAGE,Goshen (V),"Replace WTP at Prospect Reservoir, Upgrade Water Treatment Plant",5676,6120819,75,7471493592
19365,Orange,NEWBURGH (C),Newburgh (C),"Lead Service Line Inventory, Upgrade Distribution System",30000,968000,70,7472461592
19873,Orange,WASHINGTONVILLE (V),Washingtonville (V),"New Highgrove well and water treatment facility, New Ground Water Source",5700,1938300,60,7474399892
18631,Orange,NEWBURGH (C),Newburgh (C),"Replacement of filter media and installation of SCADA system, Upgrade Water Treatment Plant",28866,0,60,7474399892
19560,Orange,WALTON LAKE ESTATES WD,Chester (T),"Rehabilitation of wells, pump upgrades, and installation of new raw watermain, New Water Treatment Plant, New Ground Water Source, Upgrade Distribution System",800,2092500,60,7476492392
19041,Orange,WALLKILL CONSOLIDATED WD #1,Wallkill (T),"Rykowski Well Field Expansion and WTP Upgrades, Upgrade Water Treatment Plant, New Ground Water Source",18500,11074560,60,7487566952
19742,Orange,GREENWOOD LAKE (V),Greenwood Lake (V),"Greenwood Lake Water System Improvements - Phase II, Upgrade Water Treatment Plant, Upgrade Storage",3000,5017950,60,7492584902
19268,Orange,TAPPAN HILLS WD,Blooming Grove (T),"New well, storage tank, disinfection for new well, New Water Treatment Plant, New Ground Water Source, Upgrade Storage",450,2000000,60,7494584902
19040,Orange,MONROE WD NO. 8,Monroe (T),"Water District No. 8 - New Groundwater Source Development, New Water Treatment Plant, New Ground Water Source",544,2700000,55,7497284902
18208,Orange,KIRYAS JOEL VILLAGE,Kiryas Joel (V),"Interconnection NYC Aqueduct, Water Filtration Plant, Transmission Main, New Water Treatment Plant, New Transmission, New Inter-Connection",21750,0,55,7497284902
18871,Orange,WALLKILL CONSOLIDATED WD,Wallkill (T),"Upgrade GW Sources and Treatment, Upgrade Water Treatment Plant, Upgrade Ground Water Source, New Ground Water Source",15000,7682997,55,7504967899
19370,Orange,WARWICK (V),Warwick (V),"Lead Service Line Inventory, Upgrade Distribution System",6652,575770,45,7505543669
19033,Orange,TUXEDO PARK (V),Tuxedo Park (V),"Clearwell upgrades to increase CT, Upgrade Water Treatment Plant",4600,57800,45,7505601469
19744,Orange,GOSHEN (T),Goshen (T),"Creation of Route 17M WD, New Water District",1250,11999500,45,7517600969
19758,Orange,GOSHEN CONSOLIDATED WD,Goshen (T),"Water System Consolidation and Upgrades, New Water District",1800,26110000,45,7543710969
19628,Orange,PORT JERVIS WD,Port Jervis (C),"Lead Service Line Replacement, Upgrade Distribution System",735,10308112,40,7554019081
18630,Orange,NEWBURGH (C),Newburgh (C),"Replacement of water meters throughout the City, Upgrade Distribution System",28000,2982000,40,7557001081
18656,Orange,FLORIDA VILLAGE,Florida (V),"DBP reduction project, Upgrade Water Treatment Plant",2757,0,40,7557001081
19500,Orange,NEW WINDSOR CONSOLIDATED WD,New Windsor (T),"Upgrade Water Treatment Plant, New Water Treatment Plant, New Storage",29500,38000000,40,7595001081
19605,Orange,NEWBURGH (C),Newburgh (C),"Lead Service Line Replacement, Upgrade Distribution System",204,1010000,40,7596011081
19627,Orange,PORT JERVIS WD,Port Jervis (C),"Lead Service Line Inventory, Upgrade Distribution System",8775,1874266,40,7597885347
18851,Orange,GREENWOOD LAKE (V),Greenwood Lake (V),"Village of Greenwood Lake water system improvements, Upgrade Water Treatment Plant, Upgrade Ground Water Source",3000,0,40,7597885347
19823,Orange,PORT JERVIS WD,Port Jervis (C),"Lead Service Line Replacement, Upgrade Distribution System",1414,10308852,40,7608194199
19483,Orange,MIDDLETOWN (C),Middletown (C),"Phase 1B - Greenville Turnpike to Shawangunk Reservoir Raw Water Main Replacement, Upgrade Transmission",30452,9713930,35,7617908129
18801,Orange,MIDDLETOWN (C),Middletown (C),"Phase 1A - Kinch Pond to Greenville Turnpike Raw Water Main Replacement, Upgrade Transmission",30452,8389500,35,7626297629
18203,Orange,MIDDLETOWN (C),Middletown (C),"Upgrade Storage, New Storage",28000,3800000,35,7630097629
19749,Orange,OTISVILLE (V),Otisville (V),"Water Storage and Distribution System Upgrades, Upgrade Storage, New Storage, Upgrade Distribution System",2169,14782560,35,7644880189
18950,Orange,ARROW PARK WD,Monroe (T),"New well for redundancy, water main replacement, replacement of treatment building, Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Distribution System",83,2740830,30,7647621019
19175,Orange,MIDDLETOWN (C),Middletown (C),"Phase 2 - Replacement of main between Shawangunk Reservoir to Monhagen Lake, Upgrade Transmission",28400,41411150,25,7689032169
18935,Orange,WARWICK WATER SYSTEM,Warwick (V),"Water Storage Tank Replacement, Upgrade Storage",6652,4277000,25,7693309169
18710,Orange,MIDDLETOWN (C),Middletown (C),Upgrade Distribution System,30000,4600000,25,7697909169
19044,Orange,DENTON HILLS WD,Wawayanda (T),"Denton Hills WD Well House Improvements, Upgrade Water Treatment Plant",130,1815000,25,7699724169
19743,Orange,SOUTH BLOOMING GROVE WD #1,South Blooming Grove (V),"Water main replacement, new tank, and new meters, New Storage, Upgrade Distribution System",3100,92700000,25,7792424169
18615,Orange,NEW WELL SUPPLY: TROUT BROOK WELL FIELD,Woodbury (V),"New Well #11 with treatment at Trout Brook Well Field, New Water Treatment Plant, New Ground Water Source",10741,4739921,20,7797164090
19354,Orange,TUXEDO PARK (V),Tuxedo Park (V),"Mountain Road Asbestos Water Line Replacement, Upgrade Distribution System",1100,1505580,20,7798669670
19020,Orange,TUXEDO PARK (V),Tuxedo Park (V),"East Village Water Main Replacement, Upgrade Distribution System",1100,1117500,20,7799787170
19089,Orange,CHESTER VILLAGE,Chester (V),"Storage and WTP Improvements, Upgrade Water Treatment Plant, Upgrade Storage",3448,1950000,20,7801737170
19561,Orange,SUGAR LOAF WD,Chester (T),"Installation of water main, connection upgrades to a well and pump house, Upgrade Ground Water Source, Upgrade Distribution System",12574,3090000,20,7804827170
19255,Orange,MAYBROOK (V),Maybrook (V),"Prospect Ave Water Storage Tank Replacement, Upgrade Storage",3183,1352400,15,7806179570
19329,Orange,NEW WINDSOR CWD,New Windsor (T),"Lead Service Line Inventory, Upgrade Distribution System",29500,275000,15,7806454570
18951,Orange,MONROE WD NO. 14,Monroe (T),"WD 14: Replace 5,180 LF of water main; new well for redundancy. New Ground Water Source, Upgrade Distribution System",196,1951500,15,7808406070
19381,Orange,FIRTHCLIFFE HEIGHTS WD,Cornwall (T),"Lead Service Line Inventory, Upgrade Distribution System",460,59625,15,7808465695
19386,Orange,NEWBURGH CWD,Newburgh (T),"Lead Service Line Inventory, Upgrade Distribution System",23000,374525,15,7808840220
19872,Orange,UNIONVILLE (V),Unionville (V),"Water Storage Tank Rehabilitation, Upgrade Storage",670,1147000,15,7809987220
18992,Orange,HARRIMAN VILLAGE,Harriman (V),"New Berwynn Road Booster Pump Station, New Pump Station",4500,526500,15,7810513720
19439,Orange,MONROE (T),Monroe (T),"Lead Service Line Inventory, Upgrade Distribution System",1500,91250,15,7810604970
19016,Orange,CORNWALL-ON-HUDSON,Cornwall-on-Hudson (V),"Mill Street Water Main Replacement, Upgrade Distribution System",9300,231750,15,7810836720
19021,Orange,TUXEDO PARK (V),Tuxedo Park (V),"Tuxedo Lake Water Main Replacement, Upgrade Distribution System",1100,959700,15,7811796420
19030,Orange,NEWBURGH CONSOLIDATED WD,Newburgh (T),"Colden Park Water Main Replacement, Upgrade Distribution System",22800,4946250,15,7816742670
19043,Orange,ARLUCK WATER DISTRICT,Wawayanda (T),"Interconnection between Arluck and Denton Hills Water Districts, New Ground Water Source, New Inter-Connection",118,2634000,15,7819376670
19378,Orange,WOODBURY CONS. W.D.,Woodbury (V),"Lead Service Line Inventory, Upgrade Distribution System",10105,4894400,15,7824271070
19045,Orange,WOODBURY CONS. W.D.,Woodbury (V),"Trout Brook Well New Raw Water Transmission Main, New Transmission",10105,233600,15,7824504670
18211,Orange,HIGHLAND FALLS VILLAGE,Highland Falls (V),"Watermain Replacement, Upgrade Distribution System",4400,3700000,15,7828204670
19635,Orange,VILLAGE OF GOSHEN,Goshen (V),"Lead Service Line Inventory, Upgrade Distribution System",6100,842478,15,7829047148
19712,Orange,CORNWALL-ON-HUDSON (V),Cornwall-On-Hudson (V),"Jackson Ave GAC Filtration for PFAS Removal, Upgrade Water Treatment Plant",9500,2471600,15,7831518748
19017,Orange,CORNWALL-ON-HUDSON,Cornwall-on-Hudson (V),"Chestnut Street Water Main Replacement, Upgrade Distribution System",9300,247200,10,7831765948
19022,Orange,TUXEDO PARK (V),Tuxedo Park (V),"Town of Tuxedo Master Meter Relocation, Upgrade Distribution System",4600,46400,10,7831812348
19028,Orange,MONROE VILLAGE,Monroe (V),"Stage Road Water Main Replacement, Upgrade Distribution System",8892,744700,10,7832557048
19585,Orange,EASTERN ORANGE COUNTY PIPELINE,Kiryas Joel (V),"Delaware Aqueduct Connection, New Transmission",89563,180971000,10,8013528048
19156,Orange,WALLKILL CONSOLIDATED WD,Wallkill (T),"Replacement of outdated meters with smart meters, Upgrade Distribution System",15000,6530052,10,8020058100
19729,Orange,HIGHLAND FALLS (V),Highland Falls (V),"Ondaora and Cragston Water Main Replacement, New Distribution System",3900,3400000,10,8023458100
19804,Orleans,BARRE (T) WD NO. 10,Barre (T),"New WD No. 10, New Water District",75,2708000,70,8026166100
19025,Orleans,ALBION VILLAGE,Albion (V),"Phase 2A and 2B WTP Improvements, Upgrade Water Treatment Plant, Upgrade Transmission, Upgrade Storage",6000,7855059,60,8034021159
18759,Orleans,ALBION VILLAGE,Albion (V),"Improvements to the existing WTP, pump station, and replacement of aged transmission main.",6000,0,50,8034021159
19540,Orleans,MEDINA (V),Medina (V),"Phase I Upgrade on WM, Booster Pump, SCADA and Storage, Upgrade Distribution System",6050,12025250,45,8046046409
18414,Orleans,HOLLEY VILLAGE,Holley (V),"Upgrade Storage, Upgrade Distribution System",2150,0,35,8046046409
18181,Oswego,ORWELL WD,Orwell (T),"New Source to Address Source Capacity Violation, Upgrade Ground Water Source",150,0,1155,8046046409
18351,Oswego,SANDY CREEK WD3 / RICHLAND WD 5,Sandy Creek (T),"Consolidates 7 regulated PWSs, Upgrade Ground Water Source, New Transmission, New Distribution System",2600,3000000,1125,8049046409
18376,Oswego,RT 11 NORTH/FULLER RD WD PHASE E,Hastings (T),New Distribution System,1500,0,1095,8049046409
19796,Oswego,TOWN OF SCHROEPPEL SOUTH WD,Schroeppel (T),"New South Water District, New Water District",8049,25450000,115,8074496409
18910,Oswego,VOLNEY TOWN WD,Volney (T),"County Rt. 6 / Maple Ave Water Service Area Extension, New Distribution System",103,710365,80,8075206774
18818,Oswego,"MT PLEASANT, BATEMAN, DISTIN SERVICE AR",Volney (T),"Mt Pleasant, Bateman, and Distin Roads Water Service Area Extension, New Distribution System",280,1356000,80,8076562774
18928,Oswego,PULASKI VILLAGE,Pulaski (V),"Replacement of aged and deteriorating water main, Upgrade Distribution System",900,11962000,65,8088524774
18282,Oswego,CLEVELAND VILLAGE,Cleveland (V),"Storage & Transmission Upgrades, New Ground Water Source, Upgrade Storage, Upgrade Distribution System",925,0,60,8088524774
18930,Oswego,WATER SERVICE AREA #6,Mexico (T),"Provide public water to Water Service Area #6, New Distribution System",479,5465000,60,8093989774
18932,Oswego,COUNTY RT. 57 / HUNTLEY RD WATER DISTRICT,Schroeppel (T),"County Route 57 / Huntley Road Water District, New Distribution System",253,4903800,60,8098893574
19188,Oswego,TOWN OF CONSTANTIA WD NO. 3,Constantia (T),"Water District 3 formation w/ new DI mains, valves and services, New Water District",140,3230080,55,8102123654
19515,Oswego,OSWEGO (C),Oswego (C),"Ellen St. and Gardiner Hill HSZ Interconnect, and rehab Gardiner Hill Tank, Upgrade Storage, Upgrade Distribution System",1700,11200000,55,8113323654
18428,Oswego,OSWEGO (C),Oswego (C),"McCaffrey WTP Upgrades, Upgrade Water Treatment Plant",18142,750000,50,8114073654
19533,Oswego,PARISH (V),Parish (V),"New Village Municipal Water System, New Water District",534,13047010,50,8127120664
19123,Oswego,MEXICO (V),Mexico (V),"Phase 2 Distribution Main Replacement and Source Upgrades, Upgrade Ground Water Source, Upgrade Distribution System",1085,12000000,45,8139120664
19622,Oswego,OSWEGO (C),Oswego (C),"Lead Service Line Replacement, Upgrade Distribution System",1461,6096000,40,8145216664
18237,Oswego,MEXICO (V),Mexico (V),"Replacement of old and undersized water main, Upgrade Distribution System",1572,725000,20,8145941664
17987,Otsego,SOUTHSIDE WATER DISTRICT NO. 6,Oneonta (T),"Southside Water District No. 6, New Ground Water Source, New Complete System, New Storage, New Distribution System",1569,500000,1140,8146441664
17976,Otsego,SOUTHSIDE WATER DISTRICT NO. 5,Oneonta (T),"Southside Water District No. 5, New Ground Water Source, New Complete System, New Storage, New Distribution System",1570,1000000,1135,8147441664
18846,Otsego,RICHFIELD SPRINGS (V),Richfield Springs (V),"Address SWTR Compliance and DBPs, SCADA/electrical upgrades, Distribution replacement and looping",1500,20680000,200,8168121664
17093,Otsego,HARTWICK WATER DISTRICT,Hartwick (T),"New Ground Water Source, Upgrade Storage, Upgrade Distribution System",416,3760078,95,8171881742
18197,Otsego,ONEONTA CITY,Oneonta (C),"WTP, Distribution, and Storage Upgrades, Upgrade Water Treatment Plant, New Storage",15779,8072625,85,8179954367
18958,Otsego,VILLAGE OF OTEGO,Otego (V),"GW Source Development, WTP Resiliency, AC Pipe Replacement, Booster Station Replacement",1010,6899315,65,8186853682
18814,Otsego,EDMESTON (T),Edmeston (T),"Treatment and Distribution System Improvements, Upgrade Water Treatment Plant, Upgrade Distribution System",900,9647000,55,8196500682
19153,Otsego,ONEONTA (C),Oneonta (C),"Distribution and Storage Improvements, Upgrade Storage, Upgrade Distribution System",16000,12525830,45,8209026512
19433,Otsego,ONEONTA (C),Oneonta (C),"Lead service line inventory, Upgrade Distribution System",16000,1200000,40,8210226512
19444,Otsego,EDMESTON (T),Edmeston (T),"Lead Service Line Inventory, Upgrade Distribution System",900,359200,30,8210585712
19620,Otsego,ONEONTA (C),Oneonta (C),"Lead Service Line Replacement, Upgrade Distribution System",16000,2100000,25,8212685712
