Project #,County,System Name / Borrower,Description,Population,Project Cost,Score,Cumulative Total,emmali_notes,codes_if_scraped
19624,Chautauqua,Westfield (V),"Lead Service Line Inventory, Upgrade Distribution System","3,890","$1,041,201.00",40,"$3,350,723,984.00",,
19633,Delaware,Walton (V),"Lead Service Line Inventory., Upgrade Distribution System","3,186","$640,552.00",40,"$3,351,364,536.00",,
19634,Delaware,Delhi (V),"Lead Service Line Inventory., Upgrade Distribution System","3,172","$452,490.00",40,"$3,351,817,026.00",,
19784,Dutchess,Poughkeepsie (C),"Lead Service Line Replacement (Zone 2, Round 1)., Upgrade Distribution System","3,169","$11,800,339.00",40,"$3,363,617,365.00",,
19603,Dutchess,Poughkeepsie (C),"Lead Service Line Replacement (Phase 2)., Upgrade Distribution System","3,030","$9,374,442.00",40,"$3,372,991,807.00",,
19604,Dutchess,Poughkeepsie (C),"Lead Service Line Replacement (Phase 3)., Upgrade Distribution System","2,980","$9,336,373.00",40,"$3,382,328,180.00",,
19621,Erie,Buffalo (C),"Lead Service Line Replacement, Upgrade Distribution System","2,800","$11,516,000.00",40,"$3,393,844,180.00",,
19437,Oneida,Boonville (V),"Lead service line inventory., Upgrade Distribution System","2,500","$762,000.00",40,"$3,394,606,180.00",,
19876,Washington,Whitehall (V),"Lead service line inventory., Upgrade Distribution System","2,400","$1,134,110.00",40,"$3,395,740,290.00",,
19640,Montgomery,Canajoharie (V),"Lead service line inventory., Upgrade Distribution System","2,300","$558,962.00",40,"$3,396,299,252.00",,
19789,Dutchess,Poughkeepsie (C),"Lead Service Line Replacement (Zone 3, Round 1)., Upgrade Distribution System","2,180","$9,584,438.00",40,"$3,405,883,690.00",,
19592,Sullivan,Liberty (T),"Lead Service Line Inventory., Upgrade Distribution System","2,100","$569,094.00",40,"$3,406,452,784.00",,
19616,Schuyler,Watkins Glen (V),"Lead Service Line Inventory., Upgrade Distribution System","1,863","$1,239,000.00",40,"$3,407,691,784.00",,
18815,Schuyler,Montour Falls (V),"Replace Aged Undersized Distribution Mains., Upgrade Distribution System","1,800","$4,685,856.00",40,"$3,412,377,640.00",,
19406,Yates,Dundee (V),"Lead Service Line Inventory., Upgrade Distribution System","1,690","$545,000.00",40,"$3,412,922,640.00",,
19351,Chenango,BAINBRIDGE (V) / Bainbridge(V),"Lead Service Line Inventory, Upgrade Distribution System","1,600","$726,000.00",40,"$3,413,648,640.00",,
19650,Allegany,BOLIVAR (V) / Bolivar (V),"WM Replacement Throughout Village., Upgrade Distribution System","1,600","$4,100,000.00",40,"$3,417,748,640.00",,
19791,Dutchess,POUGHKEEPSIE (C) / Poughkeepsie (C),"Lead Service Line Replacement (Zone 4, Round 1)., Upgrade Distribution System","1,567","$8,516,534.00",40,"$3,426,265,174.00",,
19622,Oswego,OSWEGO (C) / Oswego (C),"Lead Service Line Replacement, Upgrade Distribution System","1,461","$6,096,000.00",40,"$3,432,361,174.00",,
19823,Orange,PORT JERVIS WD / Port Jervis (C),"Lead Service Line Replacement., Upgrade Distribution System","1,414","$10,308,852.00",40,"$3,442,670,026.00",,
18862,Erie,BUFFALO WATER BOARD / Buffalo Water Board,"Water main and lead service line replacement., Upgrade Distribution System","1,350","$21,450,000.00",40,"$3,464,120,026.00",,
19612,Cattaraugus,YORKSHIRE (T) / Yorkshire (T),"Lead Service Line Inventory, Upgrade Distribution System","1,000","$206,000.00",40,"$3,464,326,026.00",,
19409,Erie,BUFFALO WATER BOARD / Buffalo (C),"Lead Service Line Replacement., Upgrade Distribution System",900,"$5,460,000.00",40,"$3,469,786,026.00",,
19464,Lewis,PORT LEYDEN (V) / Port Leyden (V),"Leade service line inventory., Upgrade Distribution System",820,"$301,778.00",40,"$3,470,087,804.00",,
19462,St.Lawrence,GOUVERNEUR (T) / Gouverneur (T),"Lead service line inventory., Upgrade Distribution System",800,"$32,747.00",40,"$3,470,120,551.00",,
19626,Sullivan,NARROWSBURG WATER DISTRICT / Tusten (T),"Lead Service Line Inventory., Upgrade Distribution System",800,"$380,334.00",40,"$3,470,500,885.00",,
19366,Sullivan,WOODRIDGE (V) / Woodridge (V),"Lead Service Line Inventory, Upgrade Distribution System",747,"$256,470.00",40,"$3,470,757,355.00",,
19628,Orange,PORT JERVIS WD / Port Jervis (C),"Lead Service Line Replacement., Upgrade Distribution System",735,"$10,308,112.00",40,"$3,481,065,467.00",,
19639,Montgomery,ST. JOHNSVILLE (V) / St. Johnsville (V),"Lead service line inventory., Upgrade Distribution System",648,"$340,537.00",40,"$3,481,406,004.00",,
19468,St.Lawrence,MORRISTOWN (T) / Morristown (T),"Lead service line inventory., Upgrade Distribution System",500,"$24,864.00",40,"$3,481,430,868.00",,
19457,St.Lawrence,DE KALB JUNCTION WD / De Kalb (T),"Lead service line inventory., Upgrade Distribution System",315,"$20,081.00",40,"$3,481,450,949.00",,
19608,Lewis,TURIN (V) / Turin (V),"Lead service line inventory., Upgrade Distribution System",300,"$185,400.00",40,"$3,481,636,349.00",,
19455,St.Lawrence,CLIFTON (T) / Clifton (T),"Lead service line inventory., Upgrade Distribution System",232,"$20,128.00",40,"$3,481,656,477.00",,
19605,Orange,NEWBURGH (C) / Newburgh (C),"Lead Service Line Replacement., Upgrade Distribution System",204,"$1,010,000.00",40,"$3,482,666,477.00",,
19607,Albany,WATERVLIET (C) / Watervliet (C),"Lead service line replacement., Upgrade Distribution System",120,"$518,000.00",40,"$3,483,184,477.00",,
19475,Westchester,WHITE PLAINS (C) / White Plains (C),"New Orchard Street WTP, New Water Treatment Plant","56,000","$48,681,945.00",35,"$3,531,866,422.00",,
18946,Westchester,GREENBURGH CONSOLIDATED WD #1 / Greenburgh (T),"New chlorine contact tank and chemical feed building at the Knollwood Pump Station; add second connection to Shaft 20, Upgrade Transmission, Upgrade Pump Station","38,489","$20,274,144.00",35,"$3,552,140,566.00",,
18333,Albany,MENANDS VILLAGE / Menands (V),"South End Water Systen Improvements., Upgrade Distribution System","3,900",$0.00,35,"$3,552,140,566.00",,FMP
19749,Orange,OTISVILLE (V) / Otisville (V),"Water Storage and Distribution System Upgrades, Upgrade Storage, New Storage, Upgrade Distribution System","2,169","$14,782,560.00",35,"$3,566,923,126.00",,
19094,Hamilton,SPECULATOR (V) / Speculator (V),"Elm Lake Road Water Main Replacement and Transmission Upgrades, Upgrade Transmission, Upgrade Distribution System",408,"$2,200,000.00",35,"$3,569,123,126.00",,
19113,Madison,O-WE-RA POINT WATER SUPPLY / Owera Water Works Transport,"Intallation of iron treatment system and other upgrades to aged infrastructure, New Water Treatment Plant, Upgrade Pump Station",100,"$484,100.00",35,"$3,569,607,226.00",,
18912,Onondaga,ONONDAGA COUNTY WATER AUTHORITY / OCWA,"Salt Springs Water Storage - New Tank and Rehab Existing Tank., Upgrade Storage, New Storage","100,000","$3,523,000.00",35,"$3,573,130,226.00",,
19518,St.Lawrence,CANTON (V) / Canton (V),"Transmission Main Upgrades and Water Storage Tank Replacement, Upgrade Transmission, Upgrade Storage","6,314","$17,841,238.00",35,"$3,590,971,464.00",,
19219,Erie,ERIE COUNTY WATER AUTHORITY / Erie County Water Authority,"Van de Water WTP - Additional Filters No.5 and No.6, Upgrade Water Treatment Plant","180,000","$30,246,400.00",35,"$3,621,217,864.00",,
18801,Orange,MIDDLETOWN (C) / Middletown (C),"Phase 1A - Kinch Pond to Greenville Turnpike Raw Water Main Replacement, Upgrade Transmission","30,452","$8,389,500.00",35,"$3,629,607,364.00",,
19483,Orange,MIDDLETOWN (C) / Middletown (C),"Phase 1B - Greenville Turnpike to Shawangunk Reservoir Raw Water Main Replacement, Upgrade Transmission","30,452","$9,713,930.00",35,"$3,639,321,294.00",,
19221,Genesee,GENESEE COUNTY WATER SUPPLY / Genesee County,"Phase 3 Water Supply Project, Part 1. Funding Phase 1 of #19559. , New Distribution System","30,000","$50,800,000.00",35,"$3,690,121,294.00",,
18203,Orange,MIDDLETOWN (C) / Middletown (C),"Upgrade Storage, New Storage","28,000","$3,800,000.00",35,"$3,693,921,294.00",,FMP
19534,Rensselaer,RENSSELAER (C) PWS / Rensselaer (C),"Cross Street Pump Station Rehabilitation, Upgrade Water Treatment Plant, Upgrade Pump Station","9,800","$2,199,600.00",35,"$3,696,120,894.00",,
18140,Dutchess,RED HOOK VILLAGE / Red Hook (V),"New Storage, Upgrade Distribution System","2,214",$0.00,35,"$3,696,120,894.00",,FMP
18651,Dutchess,MILLERTON VILLAGE / Millerton (V),"Rehab. existing tank, repl. hydrants, rehab. water meters., Upgrade Storage, Upgrade Distribution System","1,150",$0.00,35,"$3,696,120,894.00",,FMP
18888,Cortland,MARATHON (V) / Marathon (V),"Water Main Crossings of the Tioughnioga River, Upgrade Distribution System","1,107","$775,000.00",35,"$3,696,895,894.00",,
18329,Jefferson,CHAUMONT VILLAGE / Chaumont (V),"Upgrade Transmission, Upgrade Distribution System",625,$0.00,35,"$3,696,895,894.00",,FMP
19516,Ontario,CANANDAIGUA (C) / Canandaigua (C),"Rehabilitation of settling basin equipment , New Other Expenses, New Other (OT)","39,239","$1,266,000.00",35,"$3,698,161,894.00",,
19536,Oneida,ROME (C) / Rome (C),"Kessinger Dam Rehabilitation, Upgrade Surface Water Source","37,300","$14,400,000.00",35,"$3,712,561,894.00",,
19419,Niagara,NEWFANE (T) / Newfane (T),"Replacement of WM on Jackson St and West Lake Rd, Upgrade Distribution System","9,304","$2,200,000.00",35,"$3,714,761,894.00",,
18593,Warren,WARRENSBURG WATER DISTRICT / Warrensburg (T),"Replacement of the water storage tank transmission main., New Transmission","3,600",$0.00,35,"$3,714,761,894.00",,FMP
19816,Washington,HUDSON FALLS (V) / Hudson Falls (V),"Phase 1: Warren Street Canal Crossing, Water Pumping Station Discharge Piping, Maple Street Canal Crossing, & Pearl Street WM Replacement, Upgrade Distribution System","2,400","$6,444,950.00",35,"$3,721,206,844.00",,
18414,Orleans,HOLLEY VILLAGE / Holley (V),"Upgrade Storage, Upgrade Distribution System","2,150",$0.00,35,"$3,721,206,844.00",,FMP
18544,Broome,PORT DICKINSON (V) / Port Dickinson (V),"Replace Aged Water Mains Chenango St. and Rochelle Rd.., Upgrade Distribution System","1,699","$7,200,000.00",35,"$3,728,406,844.00",,
18947,Oneida,WATERVILLE (V) / Waterville (V),"Relocation of booster pump station, Upgrade Pump Station","1,526","$400,000.00",35,"$3,728,806,844.00",,
19453,Jefferson,CHAMPION WD#2 / Champion (T),"Lead service line inventory., Upgrade Distribution System",712,"$26,766.00",35,"$3,728,833,610.00",,
18974,Clinton,BLACK BROOK WD NO2 / Black Brook (T),"Installationg and replacment of water meters., Upgrade Other Expenses, Upgrade Other (OT)",77,"$845,000.00",35,"$3,729,678,610.00",,
19195,Erie,ERIE COUNTY WATER AUTHORITY / Erie County Water Authority,"Sturgeon Point WTP Filtered Water Bypass, Upgrade Water Treatment Plant","370,000","$2,950,400.00",35,"$3,732,629,010.00",,
19554,Albany,ALBANY (C) / Albany MWFA,"Water main replacement and upgrade of associated appurtenances., Upgrade Distribution System","100,000","$7,628,722.00",35,"$3,740,257,732.00",,
18588,Niagara,NIAGARA FALLS WATER BOARD / NiagaraFalls Public Water Auth,"Watermain and Lead Service Replacement., Upgrade Distribution System","55,593",$0.00,35,"$3,740,257,732.00",,
18841,Niagara,NIAGARA FALLS WATER BOARD / Niagara Falls Water Board,"Replacement of aged and undersized distribution main, and appurtenances., Upgrade Distribution System","55,593","$5,300,000.00",35,"$3,745,557,732.00",,
18723,Dutchess,POUGHKEEPSIE (C) / City of Poughkeepsie,Upgrade Distribution System,"38,180","$15,770,000.00",35,"$3,761,327,732.00",,
19472,Oneida,ROME (C) / Rome (C),"Lead service line inventory., Upgrade Distribution System","30,000","$412,000.00",35,"$3,761,739,732.00",,
19597,Ulster,KINGSTON (CITY) WATER DEPARTMENT / Kingston (C),"Lead Service Line Inventory., Upgrade Distribution System","24,069","$540,000.00",35,"$3,762,279,732.00",,
18452,Cortland,CORTLAND (C) / Cortland (C),"Sevice Line Replacement, Upgrade Distribution System","20,095","$3,150,000.00",35,"$3,765,429,732.00",,
19280,Clinton,PLATTSBURGH (C) / Plattsburgh (C),"Lead service line inventory., Upgrade Distribution System","19,840","$324,000.00",35,"$3,765,753,732.00",,
19589,Cortland,CORTLAND (C) / Cortland (C),"Groton Ave Improvements Project, Upgrade Distribution System","18,670","$2,320,361.00",35,"$3,768,074,093.00",,
19619,Genesee,BATAVIA (C) / Batavia (C),"Lead Service Line Inventory, Upgrade Distribution System","15,600","$772,500.00",35,"$3,768,846,593.00",,
19631,Warren,GLENS FALLS (C) / Glens Falls (C),"Lead service line inventory., Upgrade Distribution System","14,784","$533,540.00",35,"$3,769,380,133.00",,
19292,Ontario,CANANDAIGUA (C) / Canandaigua (C),"Lead Service Line Inventory., Upgrade Distribution System","11,000","$869,300.00",35,"$3,770,249,433.00",,
18937,St.Lawrence,POTSDAM VILLAGE / Potsdam (V),"Elm Street Water main replacement., Upgrade Distribution System","9,425","$1,116,000.00",35,"$3,771,365,433.00",,
19410,Seneca,SENECA FALLS (T) / Seneca Falls (T),"Lead Service Line Inventory., Upgrade Distribution System","9,000","$1,088,710.00",35,"$3,772,454,143.00",,
18761,Wyoming,WARSAW (T) / Warsaw (T),"WD No. 1 WM Replacement Saltvale Rd., Upgrade Distribution System","5,316","$1,397,000.00",35,"$3,773,851,143.00",,
19861,Erie,(C) BUFFALO / (C) Buffalo,"Lead Service Line Replacement, Upgrade Distribution System","4,400","$16,372,000.00",35,"$3,790,223,143.00",,
19832,Greene,CATSKILL (V) / Catskill (V),"Replacement of approximately 4,685 LF of Watermain, Upgrade Distribution System","3,833","$5,000,000.00",35,"$3,795,223,143.00",,
19245,Chautauqua,POMFERT (T) / Pomfret (T),"Berry WD Water Main Replacement, Upgrade Distribution System","3,365","$2,260,000.00",35,"$3,797,483,143.00",,
19246,Chautauqua,POMFERT (T) / Pomfret (T),"Chestnut WD Watermain Replacement, Upgrade Distribution System","3,365","$960,000.00",35,"$3,798,443,143.00",,
19862,Genesee,(C) BATAVIA / (C) Batavia,"Lead Service Line Replecement Project , Upgrade Distribution System","3,110","$10,744,805.00",35,"$3,809,187,948.00",,
19422,Herkimer,FRANKFORT (V) / Frankfort (V),"Lead service line replacement., Upgrade Distribution System","2,502","$551,050.00",35,"$3,809,738,998.00",,
19454,Jefferson,CLAYTON (V) / Clayton (V),"Lead service line inventory., Upgrade Distribution System","2,079","$82,391.00",35,"$3,809,821,389.00",,
19446,Herkimer,DOLGEVILLE (V) / Dolgeville (V),"Lead service line inventory., Upgrade Distribution System","2,042","$352,260.00",35,"$3,810,173,649.00",,
18938,Oneida,WATERVILLE (V) / Waterville (V),"Stafford Ave Area WM Replacement., Upgrade Distribution System","1,526","$4,400,000.00",35,"$3,814,573,649.00",,
18757,Chautauqua,BROCTON (V) / Brocton (V),"Replacement of approximately 3,400 LF of 8"" watermain., Upgrade Distribution System","1,486",$0.00,35,"$3,814,573,649.00",,FMP
19460,St.Lawrence,STAR LAKE WD / Fine (T),"Lead service line inventory., Upgrade Distribution System","1,300","$48,419.00",35,"$3,814,622,068.00",,
19281,Niagara,NORTH TONAWANDA (C) / North Tonawanda (C),"Lead service line inventory., Upgrade Distribution System","1,000","$173,100.00",35,"$3,814,795,168.00",,
19877,Lewis,CROGHAN (V) / Croghan (V),"Lead service line inventory., New Distribution System",900,"$267,800.00",35,"$3,815,062,968.00",,
18894,Montgomery,PALATINE BRIDGE (V) WATER WORKS / Palatine Bridge (V),"Rt. 5 Watermain Replacement., Upgrade Distribution System",890,"$495,500.00",35,"$3,815,558,468.00",,
18836,Tompkins,DRYDEN WD / Dryden (T),"Route 366 / Hamlet of Varna Water Main Replacement., Upgrade Distribution System",725,"$3,588,518.00",35,"$3,819,146,986.00",,
19463,St.Lawrence,HEUVELTON (V) / Heuvelton (V),"Lead service line inventory., Upgrade Distribution System",659,"$32,747.00",35,"$3,819,179,733.00",,
19549,Livingston,GENESEO (V) / Geneseo (V),"Replace WM approx 3,300 LF on Oak and Second Streets, Upgrade Distribution System",240,"$2,037,550.00",35,"$3,821,217,283.00",,
18925,Wayne,CLYDE (V) / Clyde (V),"Main replacement on Glasgow St., Upgrade Distribution System",226,"$2,950,000.00",35,"$3,824,167,283.00",,
19632,Warren,GLENS FALLS (C) / Glens Falls (C),"Lead service line replacement., Upgrade Distribution System",42,"$257,500.00",35,"$3,824,424,783.00",,
19523,St.Lawrence,OGDENSBURG (C) / Ogdensburg (C),"East David St. Infrastructure Replacement Project, Upgrade Distribution System",30,"$1,926,100.00",35,"$3,826,350,883.00",,
18950,Orange,ARROW PARK WD / Monroe (T),"New well for redundancy, water main replacement, and replacement of the treatment building in-kind, Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Distribution System",83,"$2,740,830.00",30,"$3,829,091,713.00",<- page 41,
18256,Broome,CHENANGO CONSOLIDATED WD #1 / Chenango (T),"New well and appurtenances as redundancy for Northgate Well., New Ground Water Source","9,200","$2,519,195.00",30,"$3,831,610,908.00",,
19809,Ontario,TOWN OF CANANDAIGUA WS / Canandaigua (T),"Replacement of Asbestos Cement Pipe transmission main and installation of new surface aspirators., Upgrade Transmission","6,650","$8,520,000.00",30,"$3,840,130,908.00",,
18744,Ulster,PORT EWEN WATER DISTRICT / Esopus (T),"Port Ewen WD upgrades to water treatment pland and distribution system infrastructure , Upgrade Water Treatment Plant, Upgrade Distribution System","4,800",$0.00,30,"$3,840,130,908.00",,
19855,Schenectady,ROTTERDAM (T) / Rotterdam (T),"WD #3 & #4 Water System Improvements including reaplacing aged mains and a new GW well., New Ground Water Source, Upgrade Distribution System","1,900","$8,577,000.00",30,"$3,848,707,908.00",,
19263,Warren,BOLTON WATER DISTRICT / Bolton (T),"Phase II Water System Improvements., Upgrade Other Expenses, Upgrade Storage, Upgrade Distribution System, Upgrade Other (OT)","1,800","$3,670,920.00",30,"$3,852,378,828.00",,
19513,Warren,DIAMOND POINT WD / Lake George (T),"Replacement of Aged Water Main, Upgrade Distribution System",495,"$1,485,260.00",30,"$3,853,864,883.00",,
19279,Ulster,PORT EWEN WATER DISTRICT / Esopus (T),"Emergency interconnection infrastructure, WTP electrical updates, Water Main Replacement, Upgrade Water Treatment Plant, Upgrade Distribution System, New Inter-Connection","4,500","$3,099,200.00",30,"$3,856,963,288.00",,
18431,Warren,LAKE LUZERNE (T) / Lake Luzerne (T),"Rehabilitate existiting water storage tank and replace water mains. , Upgrade Storage, Upgrade Distribution System","2,500","$2,573,000.00",30,"$3,859,536,288.00",,
19573,Sullivan,WURTSBORO (V) / Wurtsboro (V),"Pennsylvania Ave and 1st St Well House Improvements, Upgrade Water Treatment Plant, Upgrade Ground Water Source","1,265","$1,647,200.00",30,"$3,861,183,488.00",,
18423,Essex,RAY BROOK WD / North Elba (T),"Upgrade Storage, Upgrade Distribution System",400,$0.00,30,"$3,861,183,488.00",,
18885,Sullivan,YOUNGSVILLE WD / Callicoon (T),"Replace 125,000-gal storage tank, New Storage",300,"$1,436,228.00",30,"$3,862,619,716.00",,
17683,Clinton,PLEASANT RIDGE WATER DISTRICT / Plattsburgh (T),New Storage,168,"$1,985,000.00",30,"$3,864,604,716.00",,
19497,Genesee,GENESEE COUNTY WATER SUPPLY / Genesee County,"Phase 2 - Chlorination Booster Upgrades, Tank THM Treatment, and Transmission Upgrades, Upgrade Water Treatment Plant, Upgrade Transmission, Upgrade Storage","57,808","$2,812,000.00",30,"$3,867,416,716.00",,
19570,Westchester,PEEKSKILL (C) / Peekskill (C),"Camp Field Reservoir dredging, Lower Wiccopee Dam spillway modifications, and water main replacement, Upgrade Surface Water Source, Upgrade Distribution System","25,514","$8,166,000.00",30,"$3,875,582,716.00",,
18914,Onondaga,ONONDAGA COUNTY WATER AUTHORITY / OCWA,"Replacement of Warners Water Storage Tank, New Storage","5,000","$1,081,500.00",30,"$3,876,664,216.00",,
19197,Wayne,ROSE (T) / Rose (T),"Catchpole Wellfield Upgrades to address Fe/Mn and Sulfide, Upgrade Water Treatment Plant","1,950","$2,141,780.00",30,"$3,878,805,996.00",,
18440,Onondaga,ONONDAGA COUNTY WATER AUTHORITY / OCWA,"Oakridge Storage Tank Replacement., Upgrade Storage","1,500","$2,400,000.00",30,"$3,881,205,996.00",,
19106,Greene,TANNERSVILLE (V) / Tannersville (V),"Emergency Water Storage Tank Replacement, Upgrade Storage",600,"$400,000.00",30,"$3,881,605,996.00",,
19032,Dutchess,PAWLING WD NO. 2 / Pawling (T),"Pawling WD No. 2 Phase 1 Treatment and Storage Upgrades, Upgrade Water Treatment Plant, Upgrade Storage",243,"$853,500.00",30,"$3,882,459,496.00",,
19367,Westchester,PEEKSKILL (C) / Peekskill (C),"Lead Service Line Inventory, Upgrade Distribution System","24,075","$1,465,690.00",30,"$3,883,925,186.00",,
19641,Schenectady,SCOTIA (V) / Scotia (V),"Lead service line inventory., Upgrade Distribution System","12,800","$61,800.00",30,"$3,883,986,986.00",,
19466,Jefferson,LERAY (T) / Leray (T),"Lead service line inventory., Upgrade Distribution System","10,000","$87,962.00",30,"$3,884,074,949.00",,
19226,Niagara,PORTER (T) / Porter (T),"Replacement of WM on 5 Areas of the Town, Upgrade Distribution System","6,070","$6,785,000.00",30,"$3,890,859,949.00",,
18899,Wayne,WAYNE COUNTY WATER & SEWER AUTH / Lyons (T),"Replace approx. 23,000-LF of water main and appurtenances., Upgrade Distribution System","5,500","$14,332,625.00",30,"$3,905,192,574.00",,
19735,Rensselaer,HOOSICK FALLS (V) / Hoosick Falls (V),"Lead service line inventory., Upgrade Distribution System","4,500","$492,000.00",30,"$3,905,684,574.00",,
19202,Madison,HAMILTON (V) / Hamilton (V),"NY Rt. 12B Water Main Replacement, new hydrants, valves and services, Upgrade Distribution System","4,017","$6,446,770.00",30,"$3,912,131,344.00",,
19400,Onondaga,JORDAN (V) / Jordan (V),"Lead Service Line Inventory., Upgrade Distribution System","3,600","$313,200.00",30,"$3,912,444,544.00",,
19588,Saratoga,CORINTH (V) / Corinth (V),"Replace water main along Hill Ave and Heath Ave, Upgrade Water Treatment Plant, Upgrade Distribution System","3,000","$1,011,500.00",30,"$3,913,456,443.00",,
19421,Essex,LAKE PLACID (V) / Lake Placid (V),"Lead service line inventory., Upgrade Distribution System","2,229","$440,632.00",30,"$3,913,896,676.00",,
19445,Clinton,ROUSES POINT WATER DISTRICT / Rouses Point (V),"Lead service line inventory., Upgrade Distribution System","2,195","$273,980.00",30,"$3,914,170,656.00",,
19398,Cayuga,WEEDSPORT (V) / Weedsport (V),"Lead Service Line Inventory., Upgrade Distribution System","1,945","$606,500.00",30,"$3,914,777,156.00",,
19461,Jefferson,ADAMS (V) / Adams (V),"Lead service line inventory., Upgrade Distribution System","1,775","$519,120.00",30,"$3,915,296,276.00",,
19808,Greene,VILLAGE OF COXSACKIE / Coxsackie (V),"Lead Service Line Inventory., Upgrade Distribution System","1,300","$41,450.00",30,"$3,915,337,726.00",,
19470,Jefferson,RUTLAND (T) / Rutland (T),"Lead service line inventory., Upgrade Distribution System","1,250","$48,419.00",30,"$3,915,386,145.00",,
18426,Warren,GLENS FALLS (C) / Glens Falls (C),"Replacement of aged water main, Upgrade Distribution System","1,184","$30,426,200.00",30,"$3,945,812,345.00",,
19637,Steuben,VILLAGE OF CASTILE / Castile (V),"Lead Service Line Inventory., Upgrade Distribution System","1,135","$315,000.00",30,"$3,946,127,345.00",,
19372,Chenango,NEW BERLIN (V) / New Berlin (V),"Lead Service Line Inventory, Upgrade Distribution System","1,000","$398,200.00",30,"$3,946,525,545.00",,
19444,Otsego,EDMESTON (T) / Edmeston (T),"LeadsService line inventory., Upgrade Distribution System",900,"$359,200.00",30,"$3,946,884,745.00",,
19458,Lewis,DIANA (T) / Diana (T),"Lead service line inventory., Upgrade Distribution System",650,"$28,818.00",30,"$3,946,913,563.00",,
19757,Warren,GLENS FALLS (C) / Glens Falls (C),"Replacement of WM around Mason Street, Upgrade Distribution System",429,"$5,345,700.00",30,"$3,952,259,263.00",,
19459,St.Lawrence,EDWARDS (T) / Edwards (T),"Lead service line inventory., Upgrade Distribution System",400,"$20,138.00",30,"$3,952,279,400.00",,
19755,Warren,GLENS FALLS (C) / Glens Falls (C),"Replacement of WM around Grand Street, Upgrade Distribution System",339,"$4,367,200.00",30,"$3,956,646,600.00",,
19761,Warren,GLENS FALLS (C) / Glens Falls (C),"Replacement of Water Main around Harrison Ave, Upgrade Distribution System",333,"$3,481,400.00",30,"$396,012,830.00",,
19762,Warren,GLENS FALLS (C) / Glens Falls (C),"Replacement of Water Main in Windy Ridge Area,",273,"$6,252,100.00",30,"$3,966,380,100.00",,
19759,Warren,GLENS FALLS (C) / Glens Falls (C),"Replacement of Watermain around Gage Street, Upgrade Distribution System",237,"$3,481,400.00",30,"$3,969,861,500.00",,
19753,Warren,GLENS FALLS (C) / Glens Falls (C),"Cooper Street WM Replacement, Upgrade Distribution System",213,"$4,439,300.00",30,"$3,974,300,800.00",,
19763,Warren,GLENS FALLS (C) / Glens Falls (C),"Replacement of Water Main in the Grant Ave Area, Upgrade Distribution System",210,"$3,059,100.00",30,"$3,977,359,900.00",,
19815,Greene,VILLAGE OF COXSACKIE / Coxsackie (V),"Lead Service Line Replacement., Upgrade Distribution System",210,"$1,294,945.00",30,"$3,978,654,845.00",,
19174,Onondaga,SYRACUSE CITY / Syracuse (C),"Water Department Security Fence Improvements,","192,000","$1,184,500.00",30,"$3,979,839,345.00",,
18934,Schoharie,COBLESKILL WATER DISTRICT / Cobleskill (T),"Extension of Cobleskill (V) to Cobleskill (T) WD #2, Extend Distribution System",20,"$535,600.00",30,"$3,980,374,945.00",,
18880,Suffolk,SUFFOLK COUNTY WATER AUTHORITY / SCWA,"North Fork Transmission Main - Southold, Extend Distribution System","1,009,264","$27,489,708.00",25,"$4,007,864,653.00",,
18748,Broome,BINGHAMTON (T) CONSOLIDATED WD / Binghamton (T),"Powers Road Storage Tank Replacement., New Storage","2,600","$939,393.00",25,"$4,008,804,462.00",,
18866,Saratoga,SARATOGA COUNTY WATER AUTHORITY / Saratoga County WA,"Cordero Blvd New Storage and Controls., New Storage","100,000",$0.00,25,"$4,008,804,462.00",,
19765,Westchester,YONKERS (C) / Yonkers (C),"Replacement of 750 LF of transmission main, Upgrade Distribution System","60,070","$1,997,720.00",25,"$4,010,801,766.00",,
18503,Westchester,WESTCHESTER JOINT WATER WORKS / WJWW,Upgrade Pump Station,"55,210","$3,300,000.00",25,"$4,014,101,766.00",,
19173,Dutchess,POUGHKEEPSIE (T) / Poughkeepsie (T),"Rehabilitation of two 5 MG tanks and improvements to Spackenkill Water Pump Station, Upgrade Storage, Upgrade Pump Station","45,471","$11,251,426.00",25,"$4,025,353,192.00",,
18496,Westchester,GREENBURGH CONSOLIDATED WD #1 / Greenburg (T),"Rumbrook-Knollwood CWD Interconnection, New Inter-Connection","38,489","$12,119,500.00",25,"$4,037,472,692.00",,
18868,Schenectady,GLENVILLE WD #11 / Glenville (T),"Upgrade WTP, rehab Lolik Lane Tanks #1 & #2, and Distribution. , Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System","15,000","$25,729,561.00",25,"$4,063,202,253.00",,
18613,Tioga,OWEGO WD #2 & #3 / Owego (T),"Crestview Well House and Rt 434 Transmission Main Improvements., New Ground Water Source, Upgrade Transmission","4,904","$2,425,341.00",25,"$4,065,627,594.00",,
18787,Dutchess,RED HOOK WATER DISTRICT #1 / Red Hook (V),"Enhance interconnection with Red Hook (T); eliminate Well #4 due to PFAS, Upgrade Storage, Upgrade Distribution System, Upgrade Inter-Connection","1,440",$0.00,25,"$4,065,627,594.00",,
