"borrower","pwsid","project_description","project_type","state_rank","state_score","funding_amount","disadvantaged","population","funding_status","principal_forgiveness_amount","state","category"
"LAKESHORE ESTATES WATER ASSN","AR0000726","LSLI","Lead","645","3",5000,NA,634,"Not Funded",NA,"Arkansas","1"
"VAN BUREN COUNTY W U A","AR0000727","LSLI","Lead","646","3",38680,NA,3062,"Not Funded",NA,"Arkansas","1"
"DYESS RURAL WATER","AR0000730","LSLI","Lead","647","3",5000,NA,314,"Not Funded",NA,"Arkansas","1"
"REDHILL WATER ASSOCIATION","AR0000732","LSLI","Lead","648","3",5000,NA,475,"Not Funded",NA,"Arkansas","1"
"GRAND PRAIRIE BAYOU 2 PWA","AR0000734","LSLI","Lead","649","3",97860,NA,11150,"Not Funded",NA,"Arkansas","1"
"WEST STONE COUNTY WATER ASSN","AR0000735","LSLI","Lead","650","3",37380,NA,5188,"Not Funded",NA,"Arkansas","1"
"PARTHENON WATER ASSOCIATION","AR0000736","LSLI","Lead","651","3",5000,NA,393,"Not Funded",NA,"Arkansas","1"
"BUENA VISTA-OGEMAW WATER ASSOCIATION","AR0000737","LSLI","Lead","652","3",5000,NA,384,"Not Funded",NA,"Arkansas","1"
"GRAND PRAIRIE REGIONAL WATER","AR0000738","LSLI","Lead","653","3",119800,NA,13500,"Not Funded",NA,"Arkansas","1"
"CLARK CO COUNTRY WATER FACILIT","AR0000741","LSLI","Lead","654","3",20820,NA,2403,"Not Funded",NA,"Arkansas","1"
"LEISURE HILLS MOBILE HOME PARK","AR0000747","LSLI","Lead","655","3",5000,NA,95,"Not Funded",NA,"Arkansas","1"
"HWY 64 WATER ASSOCIATION","AR0000749","LSLI","Lead","656","3",5000,NA,215,"Not Funded",NA,"Arkansas","1"
"OLD BELLA VISTA POA","AR0000753","LSLI","Lead","657","3",5000,NA,105,"Not Funded",NA,"Arkansas","1"
"STARLIGHT ESTATES","AR0000755","LSLI","Lead","658","3",5000,NA,44,"Not Funded",NA,"Arkansas","1"
"SDM WATER ASSOCIATION","AR0000758","LSLI","Lead","659","3",5000,NA,482,"Not Funded",NA,"Arkansas","1"
"GRANGE-CALAMINE WATER ASSOC","AR0000759","LSLI","Lead","660","3",21360,NA,2292,"Not Funded",NA,"Arkansas","1"
"ALPINE WATER ASSOCIATION","AR0000764","LSLI","Lead","661","3",6160,NA,610,"Not Funded",NA,"Arkansas","1"
"HWY 4 24 WATER ASSOCIATION","AR0000765","LSLI","Lead","662","3",16760,NA,2135,"Not Funded",NA,"Arkansas","1"
"NORTH JACKSON CO WATER ASSN","AR0000767","LSLI","Lead","663","3",6520,NA,807,"Not Funded",NA,"Arkansas","1"
"EAST NEWTON COUNTY WATER ASSN","AR0000768","LSLI","Lead","664","3",14300,NA,1798,"Not Funded",NA,"Arkansas","1"
"EAST JOHNSON CO WATER ASSN","AR0000772","LSLI","Lead","665","3",34200,NA,4828,"Not Funded",NA,"Arkansas","1"
"MILLTOWN-WASHBURN WATER USERS","AR0000773","LSLI","Lead","666","3",32600,NA,3837,"Not Funded",NA,"Arkansas","1"
"INDEPENDENCE JACKSON REGIONAL","AR0000774","LSLI","Lead","667","3",23660,NA,2996,"Not Funded",NA,"Arkansas","1"
"WEST WOODRUFF WATER DISTRICT","AR0000779","LSLI","Lead","668","3",5000,NA,341,"Not Funded",NA,"Arkansas","1"
"LAKE LUCERNE ESTATES","AR0000780","LSLI","Lead","669","3",5000,NA,55,"Not Funded",NA,"Arkansas","1"
"INDIAN SWITCH RURAL WATER ASSN","AR0000781","LSLI","Lead","670","3",5040,NA,674,"Not Funded",NA,"Arkansas","1"
"TRI-COUNTY WATER DISTBR DIST","AR0000782","LSLI","Lead","671","3",160440,NA,16671,"Not Funded",NA,"Arkansas","1"
"WIRE ROAD WATER SYSTEM","AR0000783","LSLI","Lead","672","3",6840,NA,830,"Not Funded",NA,"Arkansas","1"
"BARKADA WATER ASSOCIATION","AR0000785","LSLI","Lead","673","3",5000,NA,425,"Not Funded",NA,"Arkansas","1"
"MILL POND VILLAGE MHP","AR0000786","LSLI","Lead","674","3",5000,NA,160,"Not Funded",NA,"Arkansas","1"
"LITTLE RIVER CO RDA","AR0000787","LSLI","Lead","675","3",24820,NA,4279,"Not Funded",NA,"Arkansas","1"
"AR DEPT OF CORRECTION IZARD CO","AR0000790","LSLI","Lead","676","3",5000,NA,907,"Not Funded",NA,"Arkansas","1"
"SOUTHERN HILLS WATER SYSTEM","AR0000792","LSLI","Lead","677","3",5000,NA,45,"Not Funded",NA,"Arkansas","1"
"LAURELWOOD HOMEOWNERS ASSOCIATION","AR0000793","LSLI","Lead","678","3",5000,NA,90,"Not Funded",NA,"Arkansas","1"
"ADC EAST ARKANSAS REGIONAL","AR0000796","LSLI","Lead","679","3",5000,NA,1650,"Not Funded",NA,"Arkansas","1"
"TOAD SUCK PUBLIC FACILITY BD","AR0000798","LSLI","Lead","680","3",10620,NA,1314,"Not Funded",NA,"Arkansas","1"
"BIG CLIFTY WATER","AR0000799","LSLI","Lead","681","3",5000,NA,170,"Not Funded",NA,"Arkansas","1"
"SHANNON HILLS WATER DEPT","AR0000800","LSLI","Lead","682","3",34040,NA,3443,"Not Funded",NA,"Arkansas","1"
"OAK GROVE WATER","AR0000801","LSLI","Lead","683","3",5000,NA,433,"Not Funded",NA,"Arkansas","1"
"OUTSIDE KINGSLAND WATER ASSOC","AR0000802","LSLI","Lead","684","3",5000,NA,450,"Not Funded",NA,"Arkansas","1"
"WHELEN SPRINGS WATER DEPT","AR0000804","LSLI","Lead","685","3",5000,NA,557,"Not Funded",NA,"Arkansas","1"
"NASHVILLE RURAL WATER AUTHORITY","AR0000805","LSLI","Lead","686","3",59720,NA,7291,"Not Funded",NA,"Arkansas","1"
"LITTLE PORTION HERMITAGE","AR0000808","LSLI","Lead","687","3",5000,NA,25,"Not Funded",NA,"Arkansas","1"
"EAST LOGAN CO RURAL WATER","AR0000809","LSLI","Lead","688","3",16720,NA,2008,"Not Funded",NA,"Arkansas","1"
"ACORN RURAL WATER ASSN","AR0000811","LSLI","Lead","689","3",16620,NA,1975,"Not Funded",NA,"Arkansas","1"
"FREEDOM WATER ASSOCIATION","AR0000812","LSLI","Lead","690","3",14700,NA,1858,"Not Funded",NA,"Arkansas","1"
"COTTONWOOD WATER ASSOCIATION","AR0000813","LSLI","Lead","691","3",6480,NA,720,"Not Funded",NA,"Arkansas","1"
"FULTON COUNTY WATER ASSOC","AR0000814","LSLI","Lead","692","3",21160,NA,2411,"Not Funded",NA,"Arkansas","1"
"SOUTH MOUNTAIN WATER ASSN","AR0000815","LSLI","Lead","693","3",7060,NA,828,"Not Funded",NA,"Arkansas","1"
"PIKE CITY WATER ASSN","AR0000818","LSLI","Lead","694","3",5000,NA,333,"Not Funded",NA,"Arkansas","1"
"BASIN VALLEY WATER SYSTEM","AR0000819","LSLI","Lead","695","3",5000,NA,505,"Not Funded",NA,"Arkansas","1"
"KIMZEY REGIONAL WATER DISTRICT","AR0000821","LSLI","Lead","696","3",98080,NA,11669,"Not Funded",NA,"Arkansas","1"
"LAKESIDE WATER ASSOCIATION","AR0000822","LSLI","Lead","697","3",18160,NA,1876,"Not Funded",NA,"Arkansas","1"
"LAKE TABLE ROCK ESTATES","AR0000824","LSLI","Lead","698","3",5000,NA,33,"Not Funded",NA,"Arkansas","1"
"TULIP - PRINCETON WATER ASSN","AR0000825","LSLI","Lead","699","3",9100,NA,1083,"Not Funded",NA,"Arkansas","1"
"NORTH PIKE CO RURAL WATER ASSN","AR0000826","LSLI","Lead","700","3",18440,NA,1976,"Not Funded",NA,"Arkansas","1"
"KINGS HILL ESTATES","AR0000827","LSLI","Lead","701","3",5000,NA,25,"Not Funded",NA,"Arkansas","1"
"RIVER VALLEY WATER ASSN","AR0000833","LSLI","Lead","702","3",9980,NA,1220,"Not Funded",NA,"Arkansas","1"
"RICHWOODS WATER ASSOCIATION","AR0000835","LSLI","Lead","703","3",13180,NA,1496,"Not Funded",NA,"Arkansas","1"
"ST FRANCIS RIVER REG WATER DD","AR0000836","LSLI","Lead","704","3",19940,NA,2501,"Not Funded",NA,"Arkansas","1"
"BRUNNER HILL WATER ASSOC","AR0000837","LSLI","Lead","705","3",9200,NA,1188,"Not Funded",NA,"Arkansas","1"
"BEAVERFORK PWA","AR0000844","LSLI","Lead","706","3",29500,NA,3458,"Not Funded",NA,"Arkansas","1"
"CENTRAL LOGAN COUNTY PWFB","AR0000845","LSLI","Lead","707","3",10940,NA,1268,"Not Funded",NA,"Arkansas","1"
"TRI COUNTY RWDD - MOORES CHAPEL","AR0000846","LSLI","Lead","708","3",20520,NA,2620,"Not Funded",NA,"Arkansas","1"
"SOUTH LOGAN COUNTY WATER","AR0000851","LSLI","Lead","709","3",15500,NA,1783,"Not Funded",NA,"Arkansas","1"
"SW WARREN WATER ASSOCIATION","AR0000852","LSLI","Lead","710","3",6060,NA,765,"Not Funded",NA,"Arkansas","1"
"NAIL SWAIN WATER ASSOCIATION","AR0000856","LSLI","Lead","711","3",7360,NA,930,"Not Funded",NA,"Arkansas","1"
"GLEN ACRES","AR0000857","LSLI","Lead","712","3",5000,NA,68,"Not Funded",NA,"Arkansas","1"
"WALKER CREEK STATELINE RWA","AR0000858","LSLI","Lead","713","3",11320,NA,1340,"Not Funded",NA,"Arkansas","1"
"N GARLAND CO REG WATER DIST","AR0000867","LSLI","Lead","714","3",64420,NA,6859,"Not Funded",NA,"Arkansas","1"
"SEVIER CO WATER ASSOCIATION","AR0000868","LSLI","Lead","715","3",38940,NA,4767,"Not Funded",NA,"Arkansas","1"
"SE BRADLEY CO WATER ASSN","AR0000870","LSLI","Lead","716","3",21160,NA,2643,"Not Funded",NA,"Arkansas","1"
"BENTON-WASHINGTON REGIONAL PWA","AR0000871","LSLI","Lead","717","3",5000,NA,25,"Not Funded",NA,"Arkansas","1"
"CRESTWOOD MOBILE HOME PARK","AR0000873","LSLI","Lead","718","3",5000,NA,34,"Not Funded",NA,"Arkansas","1"
"CAMP ROBINSON","AR0000877","LSLI","Lead","719","3",5000,NA,1500,"Not Funded",NA,"Arkansas","1"
"WEST ASHLEY COUNTY WATER ASSN","AR0000878","LSLI","Lead","720","3",7420,NA,683,"Not Funded",NA,"Arkansas","1"
"SYLAMORE VALLEY WATER ASSN","AR0000882","LSLI","Lead","721","3",5000,NA,290,"Not Funded",NA,"Arkansas","1"
"CENTRAL ARKANSAS WATER-PARON","AR0000883","LSLI","Lead","722","3",17840,NA,2071,"Not Funded",NA,"Arkansas","1"
"HOSANNA HEIGHTS WATER","AR0000884","LSLI","Lead","723","3",5000,NA,52,"Not Funded",NA,"Arkansas","1"
"HIGHFILL WATER DEPARTMENT","AR0000885","LSLI","Lead","724","3",23480,NA,555,"Not Funded",NA,"Arkansas","1"
"BODCAW RURAL WATER SYSTEM","AR0000887","LSLI","Lead","725","3",9980,NA,1430,"Not Funded",NA,"Arkansas","1"
"AUTUMN ACRES MHP","AR0000890","LSLI","Lead","726","3",5000,NA,88,"Not Funded",NA,"Arkansas","1"
"TALL OAKS MHP","AR0000891","LSLI","Lead","727","3",5000,NA,22,"Not Funded",NA,"Arkansas","1"
"TANKSLEY APARTMENTS","AR0000895","LSLI","Lead","728","3",5000,NA,52,"Not Funded",NA,"Arkansas","1"
"BENTON COUNTY WATER AUTHORITY4","AR0000899","LSLI","Lead","729","3",5000,NA,555,"Not Funded",NA,"Arkansas","1"
"GRASSY KNOB SUBORDINATE SD",NA,"LSLI","Lead","730","3",5000,NA,65,"Not Funded",NA,"Arkansas","1"
"E CASS WATER SUPPLY CORP","AR0000886","LSLI","Lead","731","3",5000,NA,150,"Not Funded",NA,"Arkansas","1"
"SOUTHWEST ARKANSAS WATER SYST","AR0000889","LSLI","Lead","732","3",19160,NA,1698,"Not Funded",NA,"Arkansas","1"
"LOCKE-FERN DOLLARD RD WW PFB","AR0000912","LSLI","Lead","733","3",10440,NA,1135,"Not Funded",NA,"Arkansas","1"
"BENTON COUNTY WATER AUTHORITY5","AR0000913","LSLI","Lead","734","3",13560,NA,1468,"Not Funded",NA,"Arkansas","1"
"CALHOUN COUNTY WATER ASSN","AR0000919","LSLI","Lead","735","3",13040,NA,1591,"Not Funded",NA,"Arkansas","1"
"CORINTH VALLEY WATER SYSTEM","AR0000927","LSLI","Lead","736","3",5000,NA,94,"Not Funded",NA,"Arkansas","1"
"Bonanza Waterworks","AR0000979","LSLI","Lead","737","3",5000,NA,575,"Not Funded",NA,"Arkansas","1"
"SOUTH PIKE CO. WATER","AR0000978","LSLI","Lead","738","3",6520,NA,755,"Not Funded",NA,"Arkansas","1"
"NORTH HOWARD RURAL WATER ASSOCIATION","AR0001075","LSLI","Lead","739","3",5660,NA,710,"Not Funded",NA,"Arkansas","1"
"OZAN CREEK RURAL WATER SYSTEM","AR0001078","LSLI","Lead","740","3",5520,NA,787,"Not Funded",NA,"Arkansas","1"
"LEATHERWOOD VIEW ESTATES","AR0001091","LSLI","Lead","741","3",5000,NA,40,"Not Funded",NA,"Arkansas","1"
"BAXTER-MARION REGIONAL WATER ASSOCIATION","AR0001178","LSLI","Lead","742","3",5000,NA,399,"Not Funded",NA,"Arkansas","1"
"MILLER COUNTY PUBLIC WATER AUTHORITY","AR0001141","LSLI","Lead","743","3",5920,NA,680,"Not Funded",NA,"Arkansas","1"
"PINE TOP WATER FACILITIES BOARD","AR0001240","LSLI","Lead","744","3",5000,NA,25,"Not Funded",NA,"Arkansas","1"
"FORT SMITH WATER UTILITIES","AR0000507","LSLI","Lead","745","3",719980,NA,86209,"Not Funded",NA,"Arkansas","1"
"Benton County Water Authority #5","AR0000040","Water main replacement","General","1","913",4530260,"No",1468,"Funded",0,"Arkansas","1"
"Central Arkansas Water","AR0000465","New Water Distribution System","General","4","144",16300000,"No",313588,"Funded",0,"Arkansas","1"
"Central Arkansas Water","AR0000465","New Water Distribution System","General","4","144",2200000,"No",313588,"Funded",2200000,"Arkansas","1"
"Central Arkansas Water","AR0000465","Service Line Project","General","4","144",1200000,"No",313588,"Funded",1200000,"Arkansas","1"
"CAW","AR0000185","Replacement of new water meters and installation of sampling and flushing stations for the water system.","General","21","40",425000,"Yes",204,"Funded",0,"Arkansas","1"
"Dumas Waterworks","AR0000171","Installation of a waterline from Dumas connecting to the town of Pickens.","General","43","28",376995,"Yes",6061,"Funded",0,"Arkansas","1"
"East End Waterworks","AR0000646","Additional funds for construction of water storage tank and rehabilitation on existing water storage tanks.","General","74","11",5e+05,"Yes",125233,"Funded",0,"Arkansas","1"
"Eudora, City of","AR0000083","Water system improvements","General","39","30",1630211,"Yes",3158,"Funded",1630211,"Arkansas","1"
"Eudora, City of","AR0000083","Water system improvements","General","39","30",543404,"Yes",3158,"Funded",0,"Arkansas","1"
"Monticello","AR0000184","Replace and relocate water mains.","General","75","3",2136616,"Yes",9467,"Funded",0,"Arkansas","1"
"Mena Water Utilities","AR0000438","Replace Existing Clearwell & High Service Pump Station","General","3","174",7e+06,"Yes",5590,"Funded",0,"Arkansas","1"
"Southeast Bradley County Water Association","AR0000870","Regionalize Banks into SW Bradly County Water District System","General","7","64",505323,"Yes",2665,"Funded",505323,"Arkansas","1"
"Strong","AR0000556","New Water Well and Chlorination structure","General","51","23",346826,"Yes",1131,"Funded",0,"Arkansas","1"
"Strong","AR0000556","New Water Well and Chlorination structure","General","51","23",148640,"Yes",1131,"Funded",148640,"Arkansas","1"
"Rock Moore Water Utility","AR0000252","Install new water tank and water system improvements","General","766","3",4262000,"Yes",3442,"Funded",0,"Arkansas","1"
