Rank,Project Sponsor,Project Number,Project Name,Population,Building Cost,Support Cost,Estimated Cost,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Points
511,"NJ American Water Company, Incorporated","0508001-
007",Replacement of Water Meters,28071,1000563,700246,1700809,25,0,0,0,0,0,15,0.28,40.28
512,Highland Park Borough,"1207001-
001",2018-19 Water System Improvements,14245,2350000,970000,3320000,25,0,0,0,0,0,15,0.14,40.14
513,East Hanover Township,"1410001-
001",Renovation of treatment plant - addition of ion exchange for well #1 & #2,10000,900000,630000,1530000,40,0,0,0,0,0,0,0.1,40.1
514,Florham Park Borough,"1411001-
001",Construction of Water Treatment Facility for removal of manganese,8857,5198709,2547432,7746141,40,0,0,0,0,0,0,0.09,40.09
515,Hopatcong Borough,"1912001-
005",Hopatcong Borough Water Meter Replacement Project,7000,640000,1510000,778000,25,0,15,0,0,0,0,0.07,40.07
516,High Bridge Borough,"1014001-
002",Improvements to the High Bridge Water System,3900,876465,200293,1076758,25,0,0,0,0,15,0,0.04,40.04
517,Hardyston Municipal Utility Authority,"1911006-
001",Water Meter Replacement,1963,405000,81000,486000,25,0,0,0,0,15,0,0.02,40.02
518,"NJ American Water Company, Incorporated","1345001-
014",Installation of New Water Meters,289553,96139,67287,163426,35,0,0,0,0,0,0,2.9,37.9
519,"NJ American Water Company, Incorporated","0327001-
012",Installation of New Water Meters,253045,116624,81636,198260,35,0,0,0,0,0,0,2.53,37.53
520,Brick Township Municipal Utilities Authority,"1506001-
007",Chlorine Disinfection System Relocation,100000,2400000,1734000,4134000,1,0,20,0,0,0,15,1.34,37.34
521,"NJ American Water Company, Incorporated","0712001-
014",Installation of New Water Meters,217230,171818,120271,292089,35,0,0,0,0,0,0,2.17,37.17
522,Willingboro Municipal Utilities Authority,"0338001-
005",Energy Savings Improvement Program (DW),35000,1571647,2280000,1885976,1,0,20,0,0,0,15,0.35,36.35
523,Bellmawr Borough,"0404001-
003",Replacement of water mains will be needed to serve a brown.eld redevelopment area.,11583,6100000,2944000,9044000,1,0,0,0,5,0,30,0.12,36.12
523,Bellmawr Borough,"0404001-
004",A new 0.3 MG storage tank is needed to serve a Brown.eld redevelopment area.,11583,380000,266000,646000,1,0,0,0,5,0,30,0.12,36.12
524,Netcong Borough,"1428001-
001",Water System Assment Management Plan,3250,95000,350000,114000,1,0,15,5,0,0,15,0.03,36.03
525,"NJ American Water Company, Incorporated","0323001-
003",Installation of New Water Meters,42035,7092,4962,12054,35,0,0,0,0,0,0,0.42,35.42
526,Willingboro Municipal Utilities Authority,"0338001-
013",Replacement of Well No. 1,34731,433200,1593456,2026656,15,0,20,0,0,0,0,0.38,35.38
527,Burlington Township,"0306001-
002",Rehabilitate well #4,22000,75000,-3000,72000,15,0,20,0,0,0,0,0.22,35.22
528,South Orange Village,"0719001-
004",Farrell Field (Walton Ave & Audley St.) Interconnection Rehab.,16198,83000,37350,120350,30,0,0,5,0,0,0,0.17,35.17
528,South Orange Village,"0719001-
007",Replace Pressure Reducing Valves,16198,160000,72000,232000,30,0,0,5,0,0,0,0.17,35.17
529,South Orange Village,"0719001-
003",South Orange Ave and Holland Road Interconnection Rehabilitation,16198,82500,57750,140250,30,0,0,5,0,0,0,0.16,35.16
530,"NJ American Water Company, Incorporated","1605001-
003",Installation of New Water Meters,11247,92036,64423,156459,35,0,0,0,0,0,0,0.11,35.11
531,Collier Services,"1328300-
005",Install new meters and water conservation devices at Collier Services Bldgs,350,3000,2100,5100,35,0,0,0,0,0,0,0,35
532,"NJ American Water Company, Incorporated","0712001-
004",Interconnection of Twin Lake and Short Hill Systems,217230,600000,420000,1020000,30,0,0,0,0,0,0,2.17,32.17
533,Gar.eld City,"0221001-
007",Upgrade to SCADA,29780,50000,35000,85000,1,0,0,0,0,0,30,0.3,31.3
534,Little Egg Harbor Municipal Utilities Authority,"1516001-
500",Radio Road Water Treatment Plant,20065,452200,382110,834310,1,0,15,0,0,0,15,0.2,31.2
535,Hammonton Town,"0113001-
010",SCADA System/Water Meter Replacment Proj,11300,200000,34000,234000,1,0,15,0,0,0,15,0.11,31.11
536,Pemberton Township,"0329004-
008",Various Water System Improvements,10815,250000,234000,484000,1,0,15,0,0,0,15,0.11,31.11
537,"NJ American Water Company, Incorporated","2004002-
010",Replacement of Water Meters,610000,1847297,1072809,2920106,25,0,0,0,0,0,0,6.1,31.1
538,Lower Township Municipal Utilities Authority,"0505002-
001",Extension of water mains to service homes that are on private wells,9700,5000000,2460000,7460000,1,0,0,0,0,0,30,0.1,31.1
538,Lower Township Municipal Utilities Authority,"0505002-
002",Installation of well #10,9700,1500000,920000,2420000,1,0,0,0,0,0,30,0.1,31.1
539,Franklin Township,"1808001-
007",Construction of an interconnection w/ New Brunswick City,50000,600000,164000,764000,30,0,0,0,0,0,0,0.5,30.5
540,Jackson Township Municipal Utilities Authority,"1511001-
006",Construction of back up well for Manhattan Water Treatment Plant,32600,489080,342355,831435,15,0,15,0,0,0,0,0.33,30.33
541,"NJ American Water Company, Incorporated","0508001-
003",Third Street Well Replacement,28071,2000000,1140000,3140000,15,0,0,0,0,0,15,0.28,30.28
542,South River Borough,"1223001-
003",Rehabilitation of Borough Wells,16023,875000,4000000,1225000,15,0,0,0,0,0,15,0.14,30.14
543,Berlin Borough,"0405001-
007","Redrilling of well, approximately 450 feet deep",13121,600000,420000,1020000,15,0,15,0,0,0,0,0.13,30.13
544,Hopatcong Borough,"1912001-
008","Install new well and construct associated treatment facilities, SCADA system, generator & mains",7900,666000,466200,1132200,15,0,15,0,0,0,0,0.08,30.08
544,Hopatcong Borough,"1912001-
010",Construction of a new surface water treatment plant for reactivated Elbo Pt well,7900,1800000,1052000,2852000,15,0,15,0,0,0,0,0.08,30.08
545,Hightstown Borough,"1104001-
002","New Well #3 - Upgrades to plant, well house and pump",5567,500000,350000,850000,15,0,15,0,0,0,0,0.06,30.06
546,National Park Borough,"0812001-
002",Redevelopment/ Rehabilitation to Well 5 with a new well house,3289,94100,62850,156950,15,0,0,0,0,0,15,0.03,30.03
547,National Park Borough,"0812001-
004",Replacement of Wells 5 & 6,3102,1161000,539000,1700000,15,0,0,0,0,0,15,0.03,30.03
548,Ocean Gate Borough,"1521001-
003",Well Water Construction/Drilling a new well,2800,522700,145910,668610,15,0,0,0,0,0,15,0.03,30.03
549,Sparta Township,"1918003-
001",Installation of a water main interconnection,1618,545700,-21828,523872,30,0,0,0,0,0,0,0.02,30.02
550,Fountainhead Properties Incorporate,"1511013-
003",Rehabilitation of well #2,280,36050,24558,60608,15,0,15,0,0,0,0,0,30
550,Fountainhead Properties Incorporate,"1511013-
004",Improvements/Replacement of well #1,280,138450,50462,188912,15,0,15,0,0,0,0,0,30
551,Lake Glenwood Village,"1922010-
005",New well #8 for upper system,250,110000,49500,159500,15,0,15,0,0,0,0,0,30
552,"NJ American Water Company, Incorporated","1345001-
015",Replacement of Water Meters,289553,758658,531059,1289717,25,0,0,0,0,0,0,2.9,27.9
553,"NJ American Water Company, Incorporated","0327001-
013",Replacement of Water Meters,253045,6810000,3256400,10066400,25,0,0,0,0,0,0,2.53,27.53
554,"NJ American Water Company, Incorporated","0712001-
015",Replacement of Water Meters,217230,3459147,1782023,5241170,25,0,0,0,0,0,0,2.17,27.17
555,"NJ American Water Company, Incorporated","1103002-
001",Replacement of Water Meters,120000,4414176,2202235,6616411,25,0,0,0,0,0,0,1.2,26.2
556,Ridgewood Village,"0215001-
024","Replacement of 14,629 water meters with radio frequency meters",61700,4235435,2123591,6359026,25,0,0,0,0,0,0,0.62,25.62
557,Franklin Township,"1808001-
005",Replace Water Meters,50000,3500000,1800000,5300000,25,0,0,0,0,0,0,0.5,25.5
558,North Brunswick Township,"1215001-
006",Water Meter Replacement,42392,4500000,-,5427000,25,0,0,0,0,0,0,0.42,25.42
559,"NJ American Water Company, Incorporated","0323001-
004",Replacement of Water Meters,42035,1796443,1047794,2844237,25,0,0,0,0,0,0,0.42,25.42
560,Bordentown City,"0303001-
001",Water Meter Replacement Program,16663,2350000,-,2900000,25,0,0,0,0,0,0,0.16,25.16
561,Oakland Borough,"0220001-
002",Replace 4600 Water Meters,12959,1800000,706000,2506000,25,0,0,0,0,0,0,0.13,25.13
562,Clinton Town,"1005001-
007",Replace Water Meters,12500,699465,314759,1014224,25,0,0,0,0,0,0,0.12,25.12
563,"NJ American Water Company, Incorporated","1605001-
004",Replacement of Water Meters,11247,945530,661871,1607401,25,0,0,0,0,0,0,0.11,25.11
564,Mine Hill Township,"1420001-
004",Replace Water Meters,3400,210000,147000,357000,25,0,0,0,0,0,0,0.03,25.03
565,Pine Beach Borough,"1522001-
001",Merion Ave. Well Replacement / Townwide Water Meter Replacement Project,2080,650000,489400,1139400,25,0,0,0,0,0,0,0.02,25.02
566,Montclair Township,"0713001-
006",Redevelop Glen.eld Wells,38977,500000,350000,850000,15,0,0,5,0,0,0,0.39,20.39
566,Montclair Township,"0713001-
008",Nishuane Well Production & Treatment Facility,38977,1600000,886000,2486000,15,0,0,5,0,0,0,0.39,20.39
567,South Orange Village,"0719001-
001",Well 17 Rehabilitation,16198,150000,67500,217500,15,0,0,5,0,0,0,0.17,20.17
568,Matawan Borough,"1329001-
003",Rehabilitate the Boroughs two wells,8810,232801,80580,313381,15,0,0,5,0,0,0,0.09,20.09
569,"NJ American Water Company, Incorporated","1345001-
011",Drill two additional wells to increase the capacity at Yellowbrook WTP,289553,3200000,2288866,5488866,15,0,0,0,0,0,0,2.9,17.9
570,Belleville Township,"0701001-
007",Township of Belleville Asset Management Plan,36383,-,200000,200000,1,0,0,0,0,0,15,0.35,16.35
571,Jackson Township Municipal Utilities Authority,"1511001-
007",Ancillary Improvements to the Old Manhattan Water Treatment Facility,32600,1500000,920000,2420000,1,0,15,0,0,0,0,0.33,16.33
572,Hopatcong Borough,"1912001-
004",Small System Asset Management,7224,-,100000,100000,1,0,15,0,0,0,0,0.07,16.07
573,Hamburg Borough,"1909001-
001",Small System Asset Management,3382,-,75000,75000,1,0,0,0,0,0,15,0.03,16.03
574,Mount Arlington Borough,"1426005-
002","Windemere, Altenbrand, North Glen and Park Water Main Extension",98,878000,512000,1202100,1,0,15,0,0,0,0,0.02,16.02
575,Allentown Borough,"1302001-
001",Asset Management Plan,1788,42500,713245,51000,1,0,15,0,0,0,0,0.02,16.02
577,Marlboro Township,"1328002-
004",New Stand-by Well 5A (Tennent Rd Treatment Plant & Booster Pump Station),27000,933000,419850,1352850,15,0,0,0,0,0,0,0.29,15.29
578,Lacey Township,"1512001-
001",Construction of two test wells # 7 and 8,26240,1846000,396160,2242160,15,0,0,0,0,0,0,0.26,15.26
578,Lacey Township,"1512001-
002",Upgrade of WTP to make wells # 7 and 8 operational,26240,2895200,56464,2951664,15,0,0,0,0,0,0,0.26,15.26
579,Oakland Borough,"0220001-
001",Construct new Well 10A as backup for Well 10,12959,100000,45000,145000,15,0,0,0,0,0,0,0.13,15.13
582,East Hanover Township,"1410001-
002",New Water Treatment Plant for Well 6,10000,2275000,1261000,3536000,15,0,0,0,0,0,0,0.1,15.1
583,Harvey Cedars Borough,"1509001-
002",Installation of a Water Monitoring Well,3165,719000,323550,1042550,15,0,0,0,0,0,0,0.03,15.03
584,Pine Beach Borough,"1522001-
002",Merion Ave. Well Replacement / Townwide Water Meter Replacement Project,2080,325000,187160,512160,15,0,0,0,0,0,0,0.02,15.02
585,West Milford Municipal Utilities Authority,"1615016-
003",Rehabilitation of Well,1625,132000,125400,257400,15,0,0,0,0,0,0,0.02,15.02
586,Farmingdale Borough,"1314001-
001","Redevelop well #3; upgrade control system for well #3 & 4, misc improvements to the WTP",1500,446000,89200,535200,15,0,0,0,0,0,0,0.01,15.01
587,West Milford Municipal Utilities Authority,"1615018-
003",Rehabilitation of Well,1260,66000,46200,112200,15,0,0,0,0,0,0,0.01,15.01
588,"NJ American Water Company, Incorporated","0809001-
001",Beckett Well Replacement,1085,450000,176108,626108,15,0,0,0,0,0,0,0.01,15.01
589,West Milford Municipal Utilities Authority,"1615012-
003",Rehabilitation of Well,635,90000,85500,175500,15,0,0,0,0,0,0,0.01,15.01
590,West Milford Municipal Utilities Authority,"1615001-
003",Rehabilitation of Well,180,60000,57000,117000,15,0,0,0,0,0,0,0,15
591,West Milford Municipal Utilities Authority,"1615006-
003",Rehabilitation of Well,115,66000,62700,128700,15,0,0,0,0,0,0,0,15
592,Colby Homeowners Association Water Company,"1904007-
001",Installation of back up well,75,100000,70000,170000,15,0,0,0,0,0,0,0,15
593,South Orange Village,"0719001-
011",Flush Valve Removal,16198,188546,84845,273391,1,0,0,5,0,0,0,0.16,6.16
594,"NJ American Water Company, Incorporated","1345001-
004",Howell Water Mains - Freewood Acres,335449,5162000,1230970,6194400,1,0,0,0,0,0,0,3.35,4.35
595,"NJ American Water Company, Incorporated","0712001-
013",Installation of water mains at redevelopment project,217230,1000000,704000,1704000,1,0,0,0,0,0,0,2.17,3.17
597,Washington Township Municipal Utilities Authority,"0818004-
002",WTMUA Complex,48559,5000000,1931500,6420000,1,0,0,0,0,0,0,0.48,1.48
598,Sayreville Borough,"1219001-
005",Construct new transmission mains in the northeast section of the Borough,40377,1000000,660000,1660000,1,0,0,0,0,0,0,0.4,1.4
600,Marlboro Township,"1328002-
501/001",portable genertor @ Harbor Rd & Tennent Rd WTP,40191,1000000,450000,1450000,1,0,0,0,0,0,0,0.4,1.4
601,Mahwah Township,"0233001-
009",Construction of two new wells,24062,600000,420000,1020000,1,0,0,0,0,0,0,0.24,1.24
602,Montville Township,"1421003-
001","Installation of 2,300 LF of 8 inch water main and appurtances on Hillcrest and Upper Mountain Avenues",21000,325000,227500,552500,1,0,0,0,0,0,0,0.21,1.21
603,Ridge.eld Park Village,"0238001-
002",Village of Ridge.eld Park Skymark Project -- Drinking Water,12729,1281937,159170,1752308,1,0,0,0,0,0,0,0.13,1.13
604,Spotswood Borough,"1224001-
002",SPOTSWOOD WATER MASTER PLAN,8257,-,85265,85265,1,0,0,0,0,0,0,0.08,1.08
606,Woodland Park Borough,"1616001-
001",Extension of water mains to service homes that are on private wells,5030,1730000,1021200,2751200,1,0,0,0,0,0,0,0.05,1.05
608,High Bridge Borough,"1014001-
001",Asset Management Plan for the High Bridge Water System,3900,-,25000,25000,1,0,0,0,0,0,0,0.04,1.04
609,Pennington Borough,"1108001-
004",Asset Management Plan for Pennington Water Utility ',2585,300000,-,360000,1,0,0,0,0,0,0,0.03,1.03
610,Pennington Borough,"1108001-
003",Asset Management Plan for Pennington Water Utility,2585,100000,3971626,120000,1,0,0,0,0,0,0,0.03,1.03
611,Sea Girt Borough,"1344001-
005",Sea Girt Borough CMMS,2552,-,100000,100000,1,0,0,0,0,0,0,0.03,1.03
612,Hardyston Municipal Utility Authority,"1911006-
003",Asset Management Plan,1963,-,100000,100000,1,0,0,0,0,0,0,0.02,1.02
