Rank,Project Sponsor,Project Number,PWSID,Project Name,Population,Building Cost,Support Cost,Estimated Cost,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Points,"BIL
Eligibility"
432,"NJ American Water Company, Incorporated",2004002-003,NJ2004002,"Upgrade or replace existing booster station due to aging
and obolete equipment (Roselle Station)",610000,4446416,3511516,7957932,60,0,0,0,0,0,0,6.1,66.1,
432,"NJ American Water Company, Incorporated",2004002-008,NJ2004002,Prospect Ave Tank (Mountainside) Painting,610000,350000,245000,595000,60,0,0,0,0,0,0,6.1,66.1,
434,Montclair Township,0713001-004,NJ0713001,Rehabilitate 2.5 MG & 1.5 MG storage tanks with piping,38977,500000,350000,850000,60,0,0,5,0,0,0,0.38977,65.38977,
435,South Orange Village,0719001-005,NJ0719001,Crest Drive Standpipe,16198,2000000,770000,2770000,60,0,0,5,0,0,0,0.16964,65.16964,
435,South Orange Village,0719001-006,NJ0719001,Repair or Replace Newstead Shere,16298,1000000,450000,1450000,60,0,0,5,0,0,0,0.16964,65.16964,
436,Ramsey Borough,0248001-006,NJ0248001,"Rehabilitate Dixon, Martis & Spring wells",16350,250000,175000,425000,15,50,0,0,0,0,0,0.1635,65.1635,
436,Ramsey Borough,0248001-007,NJ0248001,Construction of 2 wells with pump station & piping,16350,3090000,1619600,4709600,15,50,0,0,0,0,0,0.1635,65.1635,
437,Freehold Borough,1315001-003,NJ1315001,Replacement of Well No. 3,12052,1427000,1000000,2152400,15,0,15,0,5,0,30,0.12052,65.12052,BIL (GEN)
438,Manchester Utilities Authority,1603001-003,NJ1603001,High Service Pump Station Replacement,12028,1290000,,2000000,50,0,15,0,0,0,0,0.12028,65.12028,
439,Hightstown Borough,1104001-001,NJ1104001,"New Wycoff Mills Water Storage Tank with transmission
mains",5567,825000,577500,1402500,50,0,15,0,0,0,0,0.05567,65.05567,
440,"NJ American Water Company, Incorporated",1345001-008,NJ1345001,Rehab of Newman Springs Pumping Station,289553,400000,280000,680000,60,0,0,0,0,0,0,2.89553,62.89553,
440,"NJ American Water Company, Incorporated",1345001-010,NJ1345001,Sunset Avenue and Monterey Tank Painting,289553,600000,420000,1020000,60,0,0,0,0,0,0,2.89553,62.89553,
442,"NJ American Water Company, Incorporated",0712001-006,NJ0712001,Short Hills Tank Painting,217230,400000,280000,680000,60,0,0,0,0,0,0,2.1723,62.1723,
443,"NJ American Water Company, Incorporated",0119002-010,NJ0119002,Replacement of Water Meters,88088,322686,225878,548564,25,0,20,0,0,0,15,0.88088,60.88088,
445,Parsippany Troy Hills Township,1429001-004,NJ1429001,Repainting of 1 MG water storage tank,50649,820000,39000,859000,60,0,0,0,0,0,0,0.50649,60.50649,
446,Franklin Township,1808001-004,NJ1808001,Replacement of 2 elevated storage tanks,50000,7500000,3560000,11060000,60,0,0,0,0,0,0,0.5,60.5,
448,Sayreville Borough,1219001-002,NJ1219001,"Rehabilitate the pump station facility and surface intake
on the South River located in Sayreville",40377,300000,210000,510000,60,0,0,0,0,0,0,0.40377,60.40377,
448,Sayreville Borough,1219001-003,NJ1219001,Rehabilitate existing 3 MG tank,40377,2500000,1260000,3760000,60,0,0,0,0,0,0,0.40377,60.40377,
449,Marlboro Township,1328002-003,NJ1328002,Beacon Hill storge tank Rehab,29481,1200000,514000,1714000,60,0,0,0,0,0,0,0.2948,60.2948,
450,Mahwah Township,0233001-010,NJ0233001,Rehabilitation of Campgaw elevated storage tank,24062,380000,141160,521160,60,0,0,0,0,0,0,0.24062,60.24062,
451,Montville Township,1421003-003,NJ1421003,"Storage tank rehabilitation, which includes increasing the
capacity of 0.25 MG tank to 0.33 MG",21000,300000,210000,510000,60,0,0,0,0,0,0,0.21,60.21,
452,Point Pleasant Borough,1524001-001,NJ1524001,Replacement of the Clifton Ave storage tank,19306,1200000,172000,1372000,60,0,0,0,0,0,0,0.19306,60.19306,
453,West Caldwell Township,0721001-001,NJ0721001,Rehabilitation of McKinley Ave storage tank,18296,648000,-25600,622400,60,0,0,0,0,0,0,0.18296,60.18296,
454,Sparta Township,1918004-001,NJ1918004,"Installation of a 600 KW wind turbine generator at
Germany Flats Water Utility",15726,1281800,-51272,1230528,45,0,0,0,0,15,0,0.15726,60.15726,
455,Verona Township,0720001-004,NJ0720001,"Acquisition of the ECUA Jail Annex tank plus rehab and
upgrading of the tank",13641,500000,350000,850000,60,0,0,0,0,0,0,0.13641,60.13641,
455,Verona Township,0720001-005,NJ0720001,Rehabilitation of the 2 MG Fairview Avenue storage tank,13641,700500,462330,1162830,60,0,0,0,0,0,0,0.13641,60.13641,
456,Oakland Borough,0220001-004,NJ0220001,Iroquois Pumping Station - Rehabilitation,12959,75000,33750,108750,60,0,0,0,0,0,0,0.12959,60.12959,
458,Clinton Town,1005001-013,NJ1005001,"Foster Wheeler Booster Pump Station Modifications -
Asset Management Planning",214,2190000,588000,2778000,60,0,0,0,0,0,0,0.125,60.125,
459,Pompton Lakes Municipal Utilities Authority,1609001-002,NJ1609001,Rehabilitation of the exterior of the existing 1.0 MG tank,11435,170000,117000,287000,60,0,0,0,0,0,0,0.11435,60.11435,
459,Pompton Lakes Municipal Utilities Authority,1609001-005,NJ1609001,Replacement of water storage tanks with a 1.0 MG tank,11435,900000,620000,1520000,60,0,0,0,0,0,0,0.11435,60.11435,
460,Brigantine City,0103001-501,NJ0103001,Installation of Generators at well,11117,677100,2139882,2816982,45,0,0,0,0,0,15,0.11117,60.11117,
461,Florham Park Borough,1411001-003,NJ1411001,Rehabilitation of a 1.0 MG storage tank,8857,610000,427000,1037000,60,0,0,0,0,0,0,0.08857,60.08857,
462,North Caldwell Borough,0715001-001,NJ0715001,"Rehabilitate a 1.29 MG steel water tank. Remove and
replace 800 feet of existing chain link fence",6000,470000,329000,799000,60,0,0,0,0,0,0,0.06,60.06,
463,Brielle Borough,1308001-004,NJ1308001,Brielle Drinking Water Storage Tank Project,4774,3810000,1066800,4876800,60,0,0,0,0,0,0,0.048,60.048,
464,Flemington Borough,1009001-008,NJ1009001,Installation of wells #1B and 1C,4250,125000,43500,168500,15,0,15,0,0,0,30,0.0425,60.0425,BIL (GEN)
465,Ho-Ho-Kus Borough,0228001-001,NJ0228001,Water Tank Upgrade,4078,640000,2783456,928000,60,0,0,0,0,0,0,0.0406,60.0406,
466,"Fayson Lake Water Company, Incorporated",1415001-003,NJ1415001,"Replace existing 0.1 MG Stony Brook storage tank with a
0.25 MG tank",3087,630000,441000,1071000,60,0,0,0,0,0,0,0.03087,60.03087,
467,Bayville Central Regional Board of Education,1505355-002,NJ1505355,"Construction of new interconnection with existing
municipal water system",2500,1000000,700000,1700000,30,0,0,0,0,0,30,0.025,60.025,
468,Borough of Wenonah,0819001-001,NJ0819001,Water System Asset Management Plan and System Improvements - Water Tank Rehabilitation,2278,1500000,,1880000,60,0,0,0,0,0,0,0.02357,60.02357,
469,Essex Fells Borough,0706001-001,NJ0706001,Rehabilitate 1 MG water storage tank,2200,360000,188000,548000,60,0,0,0,0,0,0,0.022,60.022,
470,Glen Gardner Borough,1012001-001,NJ1012001,Rehabilitate storage tank,1902,350000,356000,706000,60,0,0,0,0,0,0,0.01902,60.01902,
471,Stillwater Township,1920001-002,NJ1920001,Painting interior of water tank,1200,40000,28000,68000,60,0,0,0,0,0,0,0.012,60.012,
472,Manchester Utilities Authority,1603301-001,NJ1603301,Reactivation of the Tilt St Spring,1000,68750,48126,116876,15,0,15,0,0,0,30,0.01,60.01,
473,Collier Services,1328300-001,NJ1328300,"Replace existing 24,000 gallon elevated storage tank to
prevent freezing and leakage",350,350000,245000,595000,60,0,0,0,0,0,0,0.0035,60.0035,
474,Rosemont Water Company,1007002-003,NJ1007002,"Replace existing underground hydro-pneumatic tank with
ground level storage tank",225,38860,27201,66061,60,0,0,0,0,0,0,0.00225,60.00225,
475,Plausha Park Water Company,1421004-003,NJ1421004,"Rehabilitation of concrete storage facility including
security measures and instrumentation",200,135000,51000,186000,60,0,0,0,0,0,0,0.002,60.002,
476,"Wonder Lakes Properties, Incorporate",1615017-003,NJ1615017,Replace hydro-pneumatic tank and install new tank,170,25000,16900,41900,60,0,0,0,0,0,0,0.00105,60.00105,
479,Lakewood Township Municipal Utilities Authority,1514002-013,NJ1514002,iInstallation of SCADA,25000,125000,87500,212500,1,25,0,0,0,0,30,0.25,56.25,BIL (GEN)
480,Bloomfield Township,0702001-002,NJ0702001,Water Meter Replacement,47982,6000000,416832,7230970,35,0,0,5,0,15,0,0.47982,55.47982,
481,Winslow Township,0436007-010,NJ0436007,Well #2 Filter Plant Upgrade,39147,2365000,762000,3036000,40,0,0,0,0,0,15,0.39147,55.39147,
482,Montclair Township,0713001-011,NJ0713001,New 1.0MG High Zone Tank,37766,2412250,1652808,4065058,50,0,0,5,0,0,0,0.37766,55.37766,
485,Hammonton Town,0113001-007,NJ0113001,Water Meter Replacement,11300,607500,535500,1143000,25,0,15,0,0,0,15,0.113,55.113,
486,Allentown Borough,1302001-003,NJ1302001,Water Meter Replacement,1828,454850,209670,664520,25,0,15,0,0,15,0,0.01828,55.01828,
487,"NJ American Water Company, Incorporated",0327001-008,NJ0327001,"Installation of a booster station including associated
apputenances at Barrington",253045,500000,350000,850000,50,0,0,0,0,0,0,2.53045,52.53045,
489,Mount Arlington Borough,1426005-001,NJ1426005,Mount Arlington Asset Management Plan,5187,2060000,505650,2565650,1,50,0,0,0,0,0,0.05187,51.05187,
490,"NJ American Water Company, Incorporated",0119002-006,NJ0119002,Smithvillve ASR Well,88088,900000,352216,1252216,15,0,20,0,0,0,15,0.88088,50.88088,
491,"NJ American Water Company, Incorporated",0508001-006,NJ0508001,Installation of New Water Meters,28071,105001,73498,178499,35,0,0,0,0,0,15,0.28071,50.28071,
493,Mahwah Township,0233001-011,NJ0233001,Installation of a new Nilson Ave. Booser Pump Station,24062,1400000,675504,2075504,50,0,0,0,0,0,0,0.24062,50.24062,
494,South Orange Village,0719001-002,NJ0719001,Well 17 Emergency Power,16198,50000,22500,72500,45,0,0,5,0,0,0,0.16964,50.16964,
495,Bordentown City,0303001-005,NJ0303001,Construct a 1.25 MG storage tank,15831,2600000,832000,3432000,50,0,0,0,0,0,0,0.15831,50.15831,
496,Verona Township,0720001-003,NJ0720001,Construction of a new Fairview Ave tank,13641,2000000,1140000,3140000,50,0,0,0,0,0,0,0.13641,50.13641,
497,East Hanover Township,1410001-005,NJ1410001,Construction of a new water storage tank,10000,2500000,1360000,3860000,50,0,0,0,0,0,0,0.1,50.1,
498,Brielle Borough,1308001-005,NJ1308001,Old Bridge Road Elevated Water Storage Tank,4774,2913000,588541,3629400,50,0,0,0,0,0,0,0.04774,50.04774,
499,Harding Woods Mobile Home Community,1710001-002,NJ1710001,"Installation of new water meters in Harding Woods
Mobile Home Park",1103,210000,147000,357000,35,0,0,0,0,0,15,0.01103,50.01103,
500,Lake Glenwood Village,1922010-003,NJ1922010,"Installation of a new 8,000 gal. underground concrete
water storage tank",250,50000,35000,85000,50,0,0,0,0,0,0,0.0025,50.0025,
501,North Shore Water Association,1904004-003,NJ1904004,Installation of storage tank,105,300000,60000,360000,50,0,0,0,0,0,0,0.00105,50.00105,
502,Colby Homeowners Association Water Company,1904007-002,NJ1904007,Installation of a new storage tank,75,150000,105000,255000,50,0,0,0,0,0,0,0.00075,50.00075,
504,"Washington Township Municipal Utilities
Authority",0818004-008,NJ0818004,"Installation of solar system for wells # 18, 19 & 20",48559,638000,446600,1084600,45,0,0,0,0,0,0,0.48559,45.48559,
505,Vineland City,0614003-015,NJ0614003,Well No. 17 Installation,36848,100000,95000,195000,15,0,15,0,0,0,15,0.36848,45.36848,BIL (GEN)
506,Vineland City,0614003-016,NJ0614003,Well 17 Treatment Facility,36848,5900000,2018000,7918000,15,0,15,0,0,0,15,0.3625,45.3625,BIL (GEN)
507,Jackson Township Municipal Utilities Authority,1511001-008,NJ1511001,"Installation of a water main and booster station to
interconnect the Legler system",32600,2766500,1477260,4243760,30,0,15,0,0,0,0,0.326,45.326,
508,Garfield City,0221001-003,NJ0221001,Rehabilitation of Well 1A,29780,400000,280000,680000,15,0,0,0,0,0,30,0.2978,45.2978,BIL (GEN)
509,East Windsor Municipal Utilities Authority,1101002-004,NJ1101002,Installation of solar panels at 2 facilities,27200,1522500,929900,2452400,45,0,0,0,0,0,0,0.272,45.272,
510,Burlington Township,0306001-003,NJ0306001,"Purchase of water meters to replace existing meters-
Phases 2 to 4",22000,250000,-10000,240000,25,0,20,0,0,0,0,0.22,45.22,
511,Oakland Borough,0220001-003,NJ0220001,Well 9 - Diesel Generator,12959,100000,45000,145000,45,0,0,0,0,0,0,0.12959,45.12959,
513,Pompton Lakes Municipal Utilities Authority,1609001-004,NJ1609001,Installation of emergency generator at wells,11435,175000,122500,297500,45,0,0,0,0,0,0,0.11435,45.11435,
514,Freehold Borough,1315001-001,NJ1315001,"Replace and construct two well houses that protect well
pumps",11029,125000,87500,212500,15,0,15,0,0,0,15,0.11029,45.11029,BIL (GEN)
515,Pemberton Township,0329004-005,NJ0329004,Replacing Well #4 with Well #14,10815,265000,247000,512000,15,0,15,0,0,0,15,0.10815,45.10815,BIL (GEN)
515,Pemberton Township,0329004-010,NJ0329004,Conversion of test well #14 to production well,10815,400000,280000,680000,15,0,15,0,0,0,15,0.10815,45.10815,BIL (GEN)
516,Pine Hill Municipal Utilities Authority,0428002-005,NJ0428002,PRM Backup Well #4 and Decommision of Wells #6 & #7,10233,760000,1083914,912000,15,0,0,0,0,0,30,0.10233,45.10233,BIL (GEN)
517,West Milford Municipal Utilities Authority,1615016-002/500,NJ1615016,Milford Emergency Power Generators,1625,78000,15600,93600,45,0,0,0,0,0,0,0.01625,45.01625,
517,West Milford Municipal Utilities Authority,1615016-002,NJ1615016,Replace Generator,1625,78000,74100,152100,45,0,0,0,0,0,0,0.01625,45.01625,
518,Hampton Borough,1013001-001,NJ1013001,New back up well 5 to address firm capacity requirements,1500,900000,180000,1080000,15,0,0,0,0,0,30,0.015,45.015,
518,Forest Lakes Water Company,1904003-001,NJ1904003,Installation of two generators,1500,110000,77000,187000,45,0,0,0,0,0,0,0.015,45.015,
519,West Milford Municipal Utilities Authority,1615018-002/500,NJ1615018,Bald Eagle Emergency Power Generators,1260,60000,12000,72000,45,0,0,0,0,0,0,0.0126,45.0126,
519,West Milford Municipal Utilities Authority,1615018-002,NJ1615018,Replace Generator,1260,60000,42000,102000,45,0,0,0,0,0,0,0.0126,45.0126,
520,West Milford Municipal Utilities Authority,1615014-001/500,NJ1615014,Crescent Park Emergency Power Generators,700,78000,15600,93600,45,0,0,0,0,0,0,0.007,45.007,
520,West Milford Municipal Utilities Authority,1615014-001,NJ1615014,Replace Generator,700,78000,74100,152100,45,0,0,0,0,0,0,0.007,45.007,
521,West Milford Municipal Utilities Authority,1615012-002/500,NJ1615012,Awosting Emergency Power Generators,635,78000,15600,93600,45,0,0,0,0,0,0,0.00635,45.00635,
521,West Milford Municipal Utilities Authority,1615012-002,NJ1615012,Replace Generator,635,78000,74100,152100,45,0,0,0,0,0,0,0.00635,45.00635,
522,West Milford Municipal Utilities Authority,1615002-002/500,NJ1615002,Greenbrook Emergency Power Generators,600,60000,12000,72000,45,0,0,0,0,0,0,0.006,45.006,
522,West Milford Municipal Utilities Authority,1615002-002,NJ1615002,Replace Generator,600,60000,57000,117000,45,0,0,0,0,0,0,0.006,45.006,
523,West Milford Municipal Utilities Authority,1615001-002/500,NJ1615001,Birch Hill Emergency Power Generator,180,60000,12000,72000,45,0,0,0,0,0,0,0.0018,45.0018,
523,West Milford Municipal Utilities Authority,1615001-002,NJ1615001,Replace Generator,180,60000,57000,117000,45,0,0,0,0,0,0,0.0018,45.0018,
524,West Milford Municipal Utilities Authority,1615006-002/500,NJ1615006,Parkway Emergency Power Generator,805,25000,5000,30000,45,0,0,0,0,0,0,0.00115,45.00115,
524,West Milford Municipal Utilities Authority,1615006-002,NJ1615006,Replace Generator,115,25000,23750,48750,45,0,0,0,0,0,0,0.00115,45.00115,
525,"NJ American Water Company, Incorporated",1345001-007,NJ1345001,Monterey Iron Removal,289553,5000000,2460000,7460000,40,0,0,0,0,0,0,2.89553,42.89553,
526,"NJ American Water Company, Incorporated",2004002-009,NJ2004002,Installation of New Water Meters,610000,161448,113012,274460,35,0,0,0,0,0,0,6.1,41.1,
527,Belleville Township,0701001-005,NJ0701001,Replacement of Water meters,35928,3000000,1580000,4580000,25,0,0,0,0,0,15,0.35928,40.35928,
528,"NJ American Water Company, Incorporated",0508001-007,NJ0508001,Replacement of Water Meters,28071,1000563,700246,1700809,25,0,0,0,0,0,15,0.28071,40.28071,
529,Highland Park Borough,1207001-001,NJ1207001,2018-19 Water System Improvements,14245,2350000,970000,3320000,25,0,0,0,0,0,15,0.14245,40.14245,
530,East Hanover Township,1410001-001,NJ1410001,"Renovation of treatment plant - addition of ion exchange
for well #1 & #2",10000,900000,630000,1530000,40,0,0,0,0,0,0,0.1,40.1,
531,Florham Park Borough,1411001-001,NJ1411001,"Construction of Water Treatment Facility for removal of
manganese",8857,5198709,2547431,7746140,40,0,0,0,0,0,0,0.08857,40.08857,
532,Hopatcong Borough,1912001-005,NJ1912001,Hopatcong Borough Water Meter Replacement Project,7000,640000,1510000,778000,25,0,15,0,0,0,0,0.07224,40.07224,
533,High Bridge Borough,1014001-002,NJ1014001,Improvements to the High Bridge Water System,3900,876465,200293,1076758,25,0,0,0,0,15,0,0.039,40.039,
534,Hardyston Municipal Utilities Authority,1911006-001,NJ1911006,Water Meter Replacement,1963,405000,81000,486000,25,0,0,0,0,15,0,0.01963,40.01963,
535,"NJ American Water Company, Incorporated",1345001-014,NJ1345001,Installation of New Water Meters,289553,96139,67287,163426,35,0,0,0,0,0,0,2.89553,37.89553,
536,"NJ American Water Company, Incorporated",0327001-012,NJ0327001,Installation of New Water Meters,253045,116624,81635,198259,35,0,0,0,0,0,0,2.53045,37.53045,
537,Brick Township Municipal Utilities Authority,1506001-007,NJ1506001,Chlorine Disinfection System Relocation,100000,2400000,1734000,4134000,1,0,20,0,0,0,15,1.34108,37.34108,
538,"NJ American Water Company, Incorporated",0712001-014,NJ0712001,Installation of New Water Meters,217230,171818,120271,292089,35,0,0,0,0,0,0,2.1723,37.1723,
539,Willingboro Municipal Utilities Authority,0338001-005,NJ0338001,Energy Savings Improvement Program (DW),35000,1571647,2280000,1885976,1,0,20,0,0,0,15,0.35,36.35,
540,Bellmawr Borough,0404001-003,NJ0404001,"Replacement of water mains will be needed to serve a
brownfield redevelopment area.",11583,6100000,2944000,9044000,1,0,0,0,5,0,30,0.11583,36.11583,BIL (GEN)
540,Bellmawr Borough,0404001-004,NJ0404001,"A new 0.3 MG storage tank is needed to serve a
Brownfield redevelopment area.",11583,380000,266000,646000,1,0,0,0,5,0,30,0.11583,36.11583,BIL (GEN)
541,Netcong Borough,1428001-001,NJ1428001,Water System Assment Management Plan,3250,95000,350000,114000,1,0,15,5,0,0,15,0.03342,36.03342,
542,"NJ American Water Company, Incorporated",0323001-003,NJ0323001,Installation of New Water Meters,42035,7092,4962,12054,35,0,0,0,0,0,0,0.42035,35.42035,
543,Willingboro Municipal Utilities Authority,0338001-013,NJ0338001,Replacement of Well No. 1,34731,433200,1593456,2026656,15,0,20,0,0,0,0,0.37731,35.37731,
544,Burlington Township,0306001-002,NJ0306001,Rehabilitate well #4,22000,75000,-3000,72000,15,0,20,0,0,0,0,0.22,35.22,
545,South Orange Village,0719001-004,NJ0719001,"Farrell Field (Walton Ave & Audley St.) Interconnection
Rehab.",16198,83000,37350,120350,30,0,0,5,0,0,0,0.16964,35.16964,
545,South Orange Village,0719001-007,NJ0719001,Replace Pressure Reducing Valves,16198,160000,72000,232000,30,0,0,5,0,0,0,0.16964,35.16964,
546,South Orange Village,0719001-003,NJ0719001,"South Orange Ave and Holland Road Interconnection
Rehabilitation",16198,82500,57750,140250,30,0,0,5,0,0,0,0.16198,35.16198,
547,"NJ American Water Company, Incorporated",1605001-003,NJ1605001,Installation of New Water Meters,11247,92036,64422,156458,35,0,0,0,0,0,0,0.11247,35.11247,
548,Collier Services,1328300-005,NJ1328300,"Install new meters and water conservation devices at
Collier Services Bldgs",350,3000,2100,5100,35,0,0,0,0,0,0,0.0035,35.0035,
549,"NJ American Water Company, Incorporated",0712001-004,NJ0712001,Interconnection of Twin Lake and Short Hill Systems,217230,600000,420000,1020000,30,0,0,0,0,0,0,2.1723,32.1723,
550,Garfield City,0221001-007,NJ0221001,Upgrade to SCADA,29780,50000,35000,85000,1,0,0,0,0,0,30,0.2978,31.2978,BIL (GEN)
551,Little Egg Harbor Municipal Utilities Authority,1516001-500,NJ1516001,Radio Road Water Treatment Plant,20065,452200,382110,834310,1,0,15,0,0,0,15,0.20065,31.20065,BIL (GEN)
552,Hammonton Town,0113001-010,NJ0113001,SCADA System/Water Meter Replacment Proj,11300,200000,34000,234000,1,0,15,0,0,0,15,0.113,31.113,
553,Pemberton Township,0329004-008,NJ0329004,Various Water System Improvements,10815,250000,234000,484000,1,0,15,0,0,0,15,0.10815,31.10815,BIL (GEN)
554,"NJ American Water Company, Incorporated",2004002-010,NJ2004002,Replacement of Water Meters,610000,1847297,1072808,2920105,25,0,0,0,0,0,0,6.1,31.1,
555,Lower Township Municipal Utilities Authority,0505002-001,NJ0505002,"Extension of water mains to service homes that are on
private wells",9700,5000000,2460000,7460000,1,0,0,0,0,0,30,0.097,31.097,BIL (GEN)
555,Lower Township Municipal Utilities Authority,0505002-002,NJ0505002,Installation of well #10,9700,1500000,920000,2420000,1,0,0,0,0,0,30,0.097,31.097,BIL (GEN)
556,Franklin Township,1808001-007,NJ1808001,"Construction of an interconnection w/ New Brunswick
City",50000,600000,164000,764000,30,0,0,0,0,0,0,0.5,30.5,
557,Jackson Township Municipal Utilities Authority,1511001-006,NJ1511001,"Construction of back up well for Manhattan Water
Treatment Plant",32600,489080,342355,831435,15,0,15,0,0,0,0,0.326,30.326,
558,"NJ American Water Company, Incorporated",0508001-003,NJ0508001,Third Street Well Replacement,28071,2000000,1140000,3140000,15,0,0,0,0,0,15,0.28071,30.28071,
559,South River Borough,1223001-003,NJ1223001,Rehabilitation of Borough Wells,16023,875000,4000000,1225000,15,0,0,0,0,0,15,0.14,30.14,
560,Berlin Borough,0405001-007,NJ0405001,"Redrilling of well, approximately 450 feet deep",13121,600000,420000,1020000,15,0,15,0,0,0,0,0.13121,30.13121,
561,Hopatcong Borough,1912001-008,NJ1912001,"Install new well and construct associated treatment facilities, SCADA system, generator & mains",7900,666000,466200,1132200,15,0,15,0,0,0,0,0.079,30.079,
561,Hopatcong Borough,1912001-010,NJ1912001,"Construction of a new surface water treatment plant for
reactivated Elbo Pt well",7900,1800000,1052000,2852000,15,0,15,0,0,0,0,0.079,30.079,
562,Hightstown Borough,1104001-002,NJ1104001,"New Well #3 - Upgrades to plant, well house and pump",5567,500000,350000,850000,15,0,15,0,0,0,0,0.05567,30.05567,
563,National Park Borough,0812001-002,NJ0812001,"Redevelopment/ Rehabilitation to Well 5 with a new well
house",3289,94100,62850,156950,15,0,0,0,0,0,15,0.03289,30.03289,BIL (GEN)
564,National Park Borough,0812001-004,NJ0812001,Replacement of Wells 5 & 6,3102,1161000,539000,1700000,15,0,0,0,0,0,15,0.03051,30.03051,BIL (GEN)
565,Ocean Gate Borough,1521001-003,NJ1521001,Well Water Construction/Drilling a new well,2800,522700,145910,668610,15,0,0,0,0,0,15,0.026,30.026,BIL (GEN)
566,Sparta Township,1918003-001,NJ1918003,Installation of a water main interconnection,1618,545700,-21828,523872,30,0,0,0,0,0,0,0.01618,30.01618,
567,Fountainhead Properties Incorporate,1511013-003,NJ1511013,Rehabilitation of well #2,280,36050,24558,60608,15,0,15,0,0,0,0,0.0028,30.0028,
567,Fountainhead Properties Incorporate,1511013-004,NJ1511013,Improvements/Replacement of well #1,280,138450,50462,188912,15,0,15,0,0,0,0,0.0028,30.0028,
568,Lake Glenwood Village,1922010-005,NJ1922010,New well #8 for upper system,250,110000,49500,159500,15,0,15,0,0,0,0,0.0025,30.0025,
569,"NJ American Water Company, Incorporated",1345001-015,NJ1345001,Replacement of Water Meters,289553,758658,531058,1289716,25,0,0,0,0,0,0,2.89553,27.89553,
570,"NJ American Water Company, Incorporated",0327001-013,NJ0327001,Replacement of Water Meters,253045,6810000,3256400,10066400,25,0,0,0,0,0,0,2.53045,27.53045,
571,"NJ American Water Company, Incorporated",0712001-015,NJ0712001,Replacement of Water Meters,217230,3459147,1782022,5241169,25,0,0,0,0,0,0,2.1723,27.1723,
572,"NJ American Water Company, Incorporated",1103002-001,NJ1103002,Replacement of Water Meters,120000,4414176,2202235,6616411,25,0,0,0,0,0,0,1.2,26.2,
573,Ridgewood Village,0215001-024,NJ0215001,"Replacement of 14,629 water meters with radio
frequency meters",61700,4235435,2123590,6359025,25,0,0,0,0,0,0,0.617,25.617,
574,Franklin Township,1808001-005,NJ1808001,Replace Water Meters,50000,3500000,1800000,5300000,25,0,0,0,0,0,0,0.5,25.5,
575,North Brunswick Township,1215001-006,NJ1215001,Water Meter Replacement,42392,4500000,,5427000,25,0,0,0,0,0,0,0.42392,25.42392,
576,"NJ American Water Company, Incorporated",0323001-004,NJ0323001,Replacement of Water Meters,42035,1796443,1047794,2844237,25,0,0,0,0,0,0,0.42035,25.42035,
577,Bordentown City,0303001-001,NJ0303001,Water Meter Replacement Program,16663,2350000,192000,2900000,25,0,0,0,0,0,0,0.15821,25.15821,
578,Oakland Borough,0220001-002,NJ0220001,Replace 4600 Water Meters,12959,1800000,706000,2506000,25,0,0,0,0,0,0,0.12959,25.12959,
579,Clinton Town,1005001-007,NJ1005001,Replace Water Meters,12500,699465,314759,1014224,25,0,0,0,0,0,0,0.125,25.125,
580,"NJ American Water Company, Incorporated",1605001-004,NJ1605001,Replacement of Water Meters,11247,945530,661871,1607401,25,0,0,0,0,0,0,0.11247,25.11247,
581,Mine Hill Township,1420001-004,NJ1420001,Replace Water Meters,3400,210000,147000,357000,25,0,0,0,0,0,0,0.034,25.034,
582,Pine Beach Borough,1522001-001,NJ1522001,"Merion Ave. Well Replacement / Townwide Water Meter
Replacement Project",2080,650000,489400,1139400,25,0,0,0,0,0,0,0.0208,25.0208,
583,Montclair Township,0713001-008,NJ0713001,Nishuane Well Production & Treatment Facility,38977,1600000,886000,2486000,15,0,0,5,0,0,0,0.38977,20.38977,
583,Montclair Township,0713001-006,NJ0713001,Redevelop Glenfield Wells,38977,500000,350000,850000,15,0,0,5,0,0,0,0.38977,20.38977,
584,South Orange Village,0719001-001,NJ0719001,Well 17 Rehabilitation,16198,150000,67500,217500,15,0,0,5,0,0,0,0.16964,20.16964,
585,Matawan Borough,1329001-003,NJ1329001,Rehabilitate the Boroughs two wells,8810,232801,80580,313381,15,0,0,5,0,0,0,0.0881,20.0881,
586,"NJ American Water Company, Incorporated",1345001-011,NJ1345001,"Drill two additional wells to increase the capacity at
Yellowbrook WTP",289553,3200000,2288866,5488866,15,0,0,0,0,0,0,2.89553,17.89553,
587,Belleville Township,0701001-007,NJ0701001,Township of Belleville Asset Management Plan,36383,$-,200000,200000,1,0,0,0,0,0,15,0.35129,16.35129,
588,Jackson Township Municipal Utilities Authority,1511001-007,NJ1511001,"Ancillary Improvements to the Old Manhattan Water
Treatment Facility",32600,1500000,920000,2420000,1,0,15,0,0,0,0,0.326,16.326,
589,Hopatcong Borough,1912001-004,NJ1912001,Small System Asset Management,7224,$-,100000,100000,1,0,15,0,0,0,0,0.07224,16.07224,
590,Hamburg Borough,1909001-001,NJ1909001,Small System Asset Management,3382,$-,75000,75000,1,0,0,0,0,0,15,0.03382,16.03382,
