PWSID Number,Project Number,Entity,Project Name,Project City,Project County,Project Description,Project Cost,Population,Entity Type
CO0207504,030070D,Meadow Mountain Water Supply Company,,Allenspark,Boulder,Improvement/Expansion of Water Treatment Facilities; Consolidation of  Water Treatment Facilities; Connection to a New or Existing Water  Treatment Facility; Construction or Rehabilitation of Distribution and/or  Transmission Lines;  Water Supply Facilities,"$3,802,960 ",80,PNFP
CO0152505,210180D,"Meeker, Town of",,Meeker,Rio Blanco,Construction or Rehabilitation of Distribution and/or Transmission Lines New Water Treatment Facilities; Improvement/Expansion of Water,"$2,900,000 ","2,465",Gov
CO0218015,230300D,Meridian Metropolitan District,,Denver,Douglas,Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Meters,"$33,250,000 ","25,000",Gov
CO0121455,220280D,Meridian Service Metropolitan District,,Falcon,El Paso,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Supply  Facilities,"$27,500,000 ","10,300",Gov
CO0138025,210190D,"Merino, Town of",,Merino,Logan,Improvement/Expansion of Water Treatment Facilities; Connection to a New  or Existing Water Treatment Facility; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters,"$2,800,000 ",280,Gov
Unknown,210200D,Mesa County Lower Valley Rural Public  Improvement District,,Grand Junction,Mesa,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities,"$5,000,000 ","1,400",Gov
CO0139505,141750D,Mesa Water and Sanitation District,,Mesa,Mesa,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters,"$1,425,000 ",170,Gov
CO0210017,160300D,Mill Creek Park Water Improvement  Association,,Dumont,Clear Creek,Improvement/Expansion of Water Treatment Facilities; Water Storage  Facilities,"$140,000 ",67,Gov
CO0162511,141770D,"Milliken, Town of",,Milliken,Weld,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water Meters,"$25,700,000 ","5,900",Gov
CO0119510,141780D,"Minturn, Town of",,Minturn,Eagle,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Meters; Water Rights,"$22,640,000 ","1,200",Gov
CO0155518,200210D,"Moffat, Town of",,Moffat,Saguache,New Water Treatment Facility; Connection to a New or Existing Water  Treatment Facility; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Supply Facilities; Water Meters,"$445,000 ",127,Gov
CO0153600,141790D,"Monte Vista, City of",,Monte Vista,Rio Grande,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities,"$42,000,000 ","4,600",Gov
CO0142900,190390D,Montezuma Water Company,,Dolores,Montezuma,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Meters,"$17,750,000 ","13,500",PNFP
CO0143518,170260D,"Montrose, City of",,Montrose,Montrose,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities,"$17,255,000 ","19,000",Gov
CO0121475,030420D,"Monument, Town of",,Monument,El Paso,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Meters,"$26,100,000 ","4,100",Gov
CO0144020,131740D,Morgan County Quality Water District,,Fort Morgan,Morgan,Water Storage Facilities New Water Treatment Facilities; Improvement/Expansion of Water,"$2,500,000 ","6,995",Gov
CO0154518,141800D,Morrison Creek Metropolitan Water and  Sanitation District,,Oak Creek,Routt,Treatment Facilities; Connection to a New or Existing Water Treatment  Facility; Construction or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities,"$13,700,000 ","1,000",Gov
CO0130085,141810D,"Morrison, Town of",,Morrison,Jefferson,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities,"$21,329,754 ","9,990",Gov
Unknown,200220D,Mount Carbon Metropolitan District,,Greenwood Village,Jefferson,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities,"$3,000,000 ","1,500",Gov
CO0130090,200230D,Mount Vernon Country Club Metropolitan  District,,Golden,Jefferson,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters,"$5,300,000 ",200,Gov
CO0154524,141830D,Mount Werner Water and Sanitation District,,Steamboat Springs,Routt,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Supply Facilities,"$18,300,000 ","18,000",Gov
CO0133150,141840D,Mountain View Village Water and Sanitation  District,,Leadville,Lake,Improvement/Expansion of Water Treatment Facilities; Connection to a New  or Existing Water Treatment Facility; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Storage Facilities; Water  Meters,"$3,000,000 ","1,000",Gov
Unknown,160310D,"Mountain View, Town of",,Mountain View,Jefferson,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Meters,"$3,500,000 ",529,Gov
CO0130100,141850D,Mountain Water and Sanitation District,,Conifer,Jefferson,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Source Water Protection Plan; Green  Infrastructure,"$13,540,000 ",900,Gov
CO0126190,170270D,Mt. Crested Butte Water and Sanitation  District,,Mount Crested Butte,Gunnison,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Rights; Source Water Protection  Plan,"$14,000,000 ","3,500",Gov
CO0143533,141870D,"Naturita, Town of",,Naturita,Montrose,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Meters,"$2,200,000 ",540,Gov
CO0107538,141890D,"Nederland, Town of",,Nederland,Boulder,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Source Water Protection  Plan; Green Infrastructure,"$8,913,000 ","1,500",Gov
CO0123538,230310D,"New Castle, Town of",,New Castle,Garfield,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Meters; Source Water  Protection Plan,"$47,000,000 ","5,024",Gov
CO0162666,200240D,"New Raymer, Town of",,New Raymer,Weld,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Meters; Green  Infrastructure,"$805,000 ",73,Gov
CO0145480,230320D,Newdale-Grand Valley Water Company,,Rocky Ford,Otero,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$1,570,000 ",458,PNFP
co0123552,230330D,No Name Creek Water User’s Association,,Glenwood Springs,Garfield,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Meters,"$2,750,000 ",160,PNFP
CO0145630,200250D,North Holbrook Water Company,,Rocky ford,Otero,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$570,000 ",58,PNFP
CO0116553,230340D,North Pecos Water and Sanitation District,,Denver,Adams,Construction or Rehabilitation of Distribution and/or Transmission Lines Improvement/Expansion of Water Treatment Facilities; Connection to a New  or Existing Water Treatment Facilities,"$20,000,000 ","3,250",Gov
CO0254552,220290D,North Routt Community Charter School,,Clark,Routt,,"$50,000 ",120,PNFP
CO0125552,141910D,North Shore Water District,,Grand Lake,Grand,Improvement/Expansion of Water Treatment Facilities; Water Storage  Facilities; Water Supply Facilities,"$2,000,000 ",378,Gov
CO010105,190270D,North Table Mountain Water and Sanitation  District,,Golden,Jefferson,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Green Infrastructure,"$23,688,500 ","10,000",Gov
CO0101105,230350D,North Washington Street Water and  Sanitation District,,Denver,Adams,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Meters,"$55,150,000 ","12,000",Gov
CO0101110,170280D,North Washington Water Users Association,,Eastlake,Adams,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Supply  Facilities,"$1,700,000 ",110,PNFP
Unknown,230360D,Northern Colorado Water Association,,-,Larimer,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Meters;  Water Rights Improvement/Expansion of Water Treatment Facilities; Construction or,"$7,050,000 ","4,500",PNFP
CO0157500,141940D,Norwood Water Commission,Town of Norwood,Norwood,San Miguel Montrose,Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities Construction or Rehabilitation of Distribution and/or Transmission Lines;,"$7,461,180 ","1,500",Gov
CO0143559,141950D,"Nucla, Town of",,Nucla,,,"$5,025,000 ",694,Gov
CO0162559,230370D,"Nunn, Town of",,Nunn,Weld,Green Infrastructure Water Storage Facilities Improvement/Expansion of Water Treatment Facilities; Construction or,"$3,500,000 ",500,Gov
CO0154566,141970D,"Oak Creek, Town of",,Oak Creek,Routt,Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Source Water Protection  Plan,"$22,620,000 ",914,Gov
CO0143582,141980D,"Olathe, Town of",,Olathe,Montrose,Improvement/Expansion of Water Treatment Facilities; Connection to a New  or Existing Water Treatment Facility; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters; Water Rights; Green Infrastructure,"$3,751,000 ","1,850",Gov
CO0107582,141990D,Olde Stage Water District,,Boulder,Boulder,Water Storage Facilities New Water Treatment Facilities; Improvement/Expansion of Water,"$100,000 ",250,Gov
CO0113500,142000D,"Olney Springs, Town of",,Olney Springs,Crowley,Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Water Rights; Source Water Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Water Rights; Source Water,"$2,550,000 ",350,Gov
CO0157600,142010D,"Ophir, Town of",,Ophir,San Miguel,Water Storage Facilities; Water Supply Facilities; Water Meters; Green  Infrastructure,"$700,000 ",191,Gov
CO0115588,190280D,"Orchard City, Town of",,Austin,Delta,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Meters; Water Rights,"$123,750,000 ","3,100",Gov
CO0113700,142020D,"Ordway, Town of",,Ordway,Crowley,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$2,030,000 ","1,066",Gov
Unknown,230380D,Otero County,,La Junta,Otero,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$29,900,000 ","18,690",Gov
CO0161010,200260D,"Otis, Town of",,Otis,Washington,New Water Treatment Facility; Improvement/Expansion of Water Treatment  Facilities; Construction or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities; Water Meters,"$4,700,000 ",487,Gov
CO0146588,142030D,"Ouray, City of",,Ouray,Ouray,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Meters,"$17,900,000 ","1,100",Gov
CO0158005,200270D,"Ovid, Town of",,Ovid,Sedgwick,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Green Infrastructure,"$8,667,400 ",375,Gov
CO0104300,142050D,Pagosa Area Water and Sanitation District,,Pagosa Springs,Archuleta,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Supply Facilities; Green Infrastructure,"$46,136,000 ","11,000",Gov
CO0221690,142060D,Paint Brush Hills Metropolitan District,,Peyton,El Paso,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water Meters,"$7,600,000 ","3,300",Gov
CO0139600,142070D,"Palisade, Town of",,Palisade,Mesa,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Supply  Facilities; Water Meters; Source Water Protection Plan; Green Infrastructure,"$11,590,000 ","3,450",Gov
CO0121575,142080D,"Palmer Lake, Town of",,Palmer Lake,El Paso,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$2,450,000 ","2,636",Gov
CO0123595,160340D,Panorama Ranches Homeowners Association,,Carbondale,Garfield,Improvement/Expansion of Water Treatment Facilities; Water Supply  Facilities,"$150,000 ",113,PNFP
CO0123601,210240D,Panoramic Mesa Subdivision,,Silt,Garfield,Connection to a New or Existing Water Treatment Facility; Consolidation of  Water Treatment Facilities; Construction or Rehabilitation of Distribution  and/or Transmission Lines; Water Storage Facilities; Water Meters,"$1,115,000 ",45,PNFP
CO0115601,130200D,"Paonia, Town of",,Paonia,Delta,Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Water Rights; Source Water  Protection Plan,"$14,500,000 ","1,483",Gov
CO0123602,190290D,"Parachute, Town of",,Parachute,Garfield,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Meters; Source Water Protection Plan; Green Infrastructure,"$5,000,000 ","1,113",Gov
Unknown,190020D,Paradise Acres Homeowners Association,,La Veta,Huerfano,New Water Treatment Facilities; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters,"$110,000 ",65,PNFP
Unknown,200280D,Paradise Hills Homeowners Association,,Golden,Jefferson,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Meters,"$600,000 ",240,PNFP
CO0121600,142110D,Park Forest Water District,,Colorado Springs,El Paso,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Connection to a New or Existing Water Treatment  Facility; Construction or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities; Water Meters; New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Connection to a New or Existing Water Treatment  Facility; Construction or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities; Water Meters;,"$4,813,000 ","1,000",Gov
CO0130115,210250D,Park Water Company,Wonderview,Evergreen,Jefferson,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Meters,"$985,000 ",36,PNFP
CO0118040,220300D,Parker Water and Sanitation District,,Parker,Douglas,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Connection to a New or Existing Water Treatment  Facilities; Construction or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities; Water Meters; Green  Infrastructure,"$140,540,005 ","55,000",Gov
CO0133700,200290D,Parkville Water District,,Leadville,Lake,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities,"$31,400,000 ","8,000",Gov
CO0145540,160350D,Patterson Valley Water Company,,Rocky Ford,Otero,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$3,560,000 ",150,PNFP
CO0138030,142130D,"Peetz, Town of",,Peetz,Logan,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Meters,"$3,185,000 ",238,Gov
CO0122700,143050D,Penrose Water District,,Penrose,Fremont,Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Source Water Protection Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Source Water Protection,"$8,850,000 ","3,285",Gov
CO0118045,142140D,Perry Park Water and Sanitation District,,Larkspur,Douglas,Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Water Rights; Source Water Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Water Rights; Source Water,"$5,880,000 ","3,315",Gov
CO0107610,190300D,Pine Brook Water District,,Boulder,Boulder,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Source Water Protection Plan,"$11,650,000 ","1,180",Gov
CO0151450,990350D,Pine Drive Water District,,Beulah,Pueblo,Improvement/Expansion of Water Treatment Facilities; Consolidation of  Water Treatment Facilities; Connection to a New or Existing Water  Treatment Facility; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Meters,"$8,750,000 ",405,Gov
CO0135610,142170D,Pinewood Springs Water District,,Lyons,Larimer,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Meters,"$18,617,250 ",900,Gov
CO0128650,190310D,Pinon Hills Water Users Association,,Walsenburg,Huerfano,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$545,000 ",68,PNFP
CO0121625,230390D,Pioneer Lookout Water District,,Monument,El Paso,Consolidation of Water Treatment Facilities; Connection to a New or Existing  Water Treatment Facility; Construction or Rehabilitation of Distribution  and/or Transmission Lines; Water Storage Facilities; Water Meters,"$1,694,000 ",100,Gov
CO0149609,210260D,Pitkin County,Phillips Mobile Park,Aspen,Pitkin,New Water Treatment Facilities; Connection to a New or Existing Water  Treatment Facility; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Meters,"$905,056 ",240,Gov
CO0103614,230400D,Platte Canyon Water and Sanitation District,,Littleton,Jefferson,Construction or Rehabilitation of Distribution and/or Transmission Lines Construction or Rehabilitation of Distribution and/or Transmission Lines; Construction or Rehabilitation of Distribution and/or Transmission Lines Construction or Rehabilitation of Distribution and/or Transmission Lines;,"$18,000,000 ","19,483",Gov
CO0162615,142180D,"Platteville, Town of",,Platteville,Weld,,"$9,000,000 ","2,900",Gov
CO0108650,142190D,"Poncha Springs, Town of",,Poncha Springs,Chaffee,Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Source  Water Protection Plan,"$2,513,696 ",967,Gov
CO0144621,230410D,Prairie View Ranch Water District,,Wiggins,Morgan,Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Supply  Facilities; Source Water Protection Plan,"$690,000 ",145,Gov
CO0105300,142200D,"Pritchett, Town of",,Pritchett,Baca,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$260,000 ",112,Gov
CO0143621,142210D,Project 7 Water Authority,,Montrose,Montrose,New Water Treatment Facilities; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Supply Facilities Construction or Rehabilitation of Distribution and/or Transmission Lines; New Water Treatment Facilities; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Supply Facilities Construction or Rehabilitation of Distribution and/or Transmission Lines;,"$80,000,000 ","53,000",Gov
CO0150850,160390D,Prosperity Lane Water and Sewer Association,,Lamar,Prowers,,"$425,000 ",400,PNFP
Unknown,230420D,Prowers County,,Lamar,Prowers,Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Water Rights; Source Water Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Water Rights; Source Water,"$1,080,000 ","11,999",Gov
CO0151500,142220D,Pueblo Board of Water Works,,Pueblo,Pueblo,Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Source Water Protection  Plan; Green Infrastructure,"$194,060,000 ","113,300",Gov
CO0151650,142230D,Pueblo West Metropolitan District,,Pueblo West,Pueblo,Improvement/Expansion of Water Treatment Facilities; Connection to a New  or Existing Water Treatment Facility; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Storage Facilities,"$13,500,000 ","33,500",Gov
CO0160375,230430D,Rainbow Valley Water District,,Divide,Teller,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$18,000,000 ",130,Gov
CO0121675,170300D,"Ramah, Town of",,Ramah,El Paso,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facilities; Construction or New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facilities; Construction or,"$5,155,000 ",127,Gov
CO0123667,220310D,Ranch at Roaring Fork Homeowners  Association,,Carbondale,Garfield,Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities,"$25,000,000 ",500,PNFP
Co0152666,142260D,"Rangely, Town of",,Rangely,Rio Blanco,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Water Storage Facilities; Water Meters Improvement/Expansion of Water Treatment Facilities; Construction or,"$41,500,000 ","2,100",Gov
CO0235666,230440D,Ravencrest Chalet,,Estes Park,Larimer,Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities Improvement/Expansion of Water Treatment Facilities,"$100,000 ",55,PNFP
CO0262672,220320D,Ravencrest Chalet Retreat Center,,Estes Park,Larimer,,"$50,000 ",300,PNFP
CO0119674,180070D,Red Canyon Acres Homeowners Association,,Eagle,Eagle,Improvement/Expansion of Water Treatment Facilities; Water Storage  Facilities; Water Meters,"$50,000 ",31,PNFP
CO0119671,142270D,"Red Cliff, Town of",,Red Cliff,Eagle,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Rights; Water Meters,"$4,250,000 ",451,Gov
CO0121700,142280D,Red Rock Valley Estates Water District,,Colorado Springs,El Paso,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water Meters; Water New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water Meters; Water,"$3,940,000 ",300,Gov
CO0119673,210280D,Red Sky Ranch Metropolitan Water District,,Edwards,Eagle,Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Meters,"$3,620,000 ",291,Gov
