Rank,Project Sponsor,Project Number,Project Name,Population,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Points,BIL Eligibility
559,Clinton Town,1005001-013,"Foster Wheeler Booster Pump Station Modifications - Asset Management
Planning",214,60,0,0,0,0,0,0,0.125,60.125,
560,Pompton Lakes Municipal Utilities Authority,1609001-002,Rehabilitation of the exterior of the existing 1.0 MG tank,11435,60,0,0,0,0,0,0,0.11435,60.11435,
560,Pompton Lakes Municipal Utilities Authority,1609001-005,Replacement of water storage tanks with a 1.0 MG tank,11435,60,0,0,0,0,0,0,0.11435,60.11435,
561,Pine Hill Municipal Utilities Authority,0428002-006,Water Rehab Project,-,60,0,0,0,0,0,0,0.10223,60.10223,
562,Florham Park Borough,1411001-003,Rehabilitation of a 1.0 MG storage tank,8857,60,0,0,0,0,0,0,0.08857,60.08857,
563,North Caldwell Borough,0715001-001,"Rehabilitate a 1.29 MG steel water tank. Remove and replace 800 feet of
existing chain link fence",6000,60,0,0,0,0,0,0,0.06,60.06,
564,Point Pleasant Beach Borough,1525001-003,Water Tank Painting And Improvements to Water Treatment Plant,2133,60,0,0,0,0,0,0,0.056,60.056,
565,Oakland Borough,0220001-004,Iroquois Pumping Station - Rehabilitation,12959,60,0,0,0,0,0,0,0.05038,60.05038,
566,Washington Township Municipal Utilities Authority,1438004-001,WTMUA - Water Tank Rehabilitation & Well Sm-3 Decommissioning,7500,60,0,0,0,0,0,0,0.04866,60.04866,
568,Allamuchy Township,2101001-001,Water Storage Tank Replacement Project,5335,60,0,0,0,0,0,0,0.04573,60.04573,
569,Flemington Borough,1009001-008,Installation of wells #1B and 1C,4250,15,0,15,0,0,0,30,0.0425,60.0425,BIL (GEN)
570,Ho-Ho-Kus Borough,0228001-001,Water Tank Upgrade,4078,60,0,0,0,0,0,0,0.0406,60.0406,
571,"Fayson Lake Water Company, Incorporated",1415001-003,Replace existing 0.1 MG Stony Brook storage tank with a 0.25 MG tank,3087,60,0,0,0,0,0,0,0.03087,60.03087,
572,Bayville Central Regional Board of Education,1505355-002,"Construction of new interconnection with existing municipal water
system",2500,30,0,0,0,0,0,30,0.025,60.025,
573,Wenonah Borough,0819001-001,"Water System Asset Management Plan and System Improvements -
Water Tank Rehabilitation",2278,60,0,0,0,0,0,0,0.02357,60.02357,
574,Essex Fells Borough,0706001-001,Rehabilitate 1 MG water storage tank,2200,60,0,0,0,0,0,0,0.022,60.022,
575,Hardyston Municipal Utilities Authority,1911006-001,Water Meter Replacement,1963,25,0,20,0,0,15,0,0.01963,60.01963,
576,Glen Gardner Borough,1012001-001,Rehabilitate storage tank,1902,60,0,0,0,0,0,0,0.01902,60.01902,
577,"Brookwood Musconetcong River Property Owners
Association",1904001-005,Tower Painting & Meter System,422,60,0,0,0,0,0,0,0.012,60.012,
577,Stillwater Township,1920001-002,Painting interior of water tank,1200,60,0,0,0,0,0,0,0.012,60.012,
578,Manchester Utilities Authority,1603301-001,Reactivation of the Tilt St Spring,1000,15,0,15,0,0,0,30,0.01,60.01,
579,Collier Services,1328300-001,"Replace existing 24,000 gallon elevated storage tank to prevent freezing
and leakage",350,60,0,0,0,0,0,0,0.0035,60.0035,
580,Rosemont Water Company,1007002-004,Rosemont Water Company Emergency Well Pump Repair,-,60,0,0,0,0,0,0,0.00256,60.00256,
581,Rosemont Water Company,1007002-003,"Replace existing underground hydro-pneumatic tank with ground level
storage tank",225,60,0,0,0,0,0,0,0.00225,60.00225,
582,Plausha Park Water Company,1421004-003,"Rehabilitation of concrete storage facility including security measures and
instrumentation",200,60,0,0,0,0,0,0,0.002,60.002,
583,"Wonder Lakes Properties, Incorporate",1615017-003,Replace hydro-pneumatic tank and install new tank,170,60,0,0,0,0,0,0,0.00105,60.00105,
586,Lakewood Township Municipal Utilities Authority,1514002-013,iInstallation of SCADA,25000,1,25,0,0,0,0,30,0.25,56.25,BIL (GEN)
587,Bloomfield Township,0702001-002,Water Meter Replacement,47982,35,0,0,5,0,15,0,0.47982,55.47982,
588,Winslow Township,0436007-010,Well #2 Filter Plant Upgrade,39147,40,0,0,0,0,0,15,0.39147,55.39147,
589,Montclair Township,0713001-011,New 1.0MG High Zone Tank,37766,50,0,0,5,0,0,0,0.37766,55.37766,
592,Hammonton Town,0113001-007,Water Meter Replacement,11300,25,0,15,0,0,0,15,0.113,55.113,
593,Hopatcong Borough,1912001-005,Hopatcong Borough Water Meter Replacement Project,7000,25,0,15,0,0,0,0,0.07224,55.07224,
594,Allentown Borough,1302001-003,Water Meter Replacement,1828,25,0,15,0,0,15,0,0.01828,55.01828,
595,"NJ American Water Company, Inc.",0327001-008,"Installation of a booster station including associated apputenances at
Barrington",253045,50,0,0,0,0,0,0,2.53045,52.53045,
597,Mount Arlington Borough,1426005-001,Rehabilitation of the Schmitz Terrace Stand Pipe,5187,1,50,0,0,0,0,0,0.05187,51.05187,
598,"NJ American Water Company, Inc.",0119002-006,Smithvillve ASR Well,88088,15,0,20,0,0,0,15,0.88088,50.88088,
599,Brick Township Municipal Utilities Authority,1506001-016,Reservoir Infrastructure Mitigation Improvements Project,73620,15,0,20,0,0,0,0,0.86898,50.86898,
599,Brick Township Municipal Utilities Authority,1506001-017,Replacement of Three Cohansey Wells,73620,15,0,20,0,0,0,0,0.86898,50.86898,
600,"NJ American Water Company, Inc.",0508001-006,Installation of New Water Meters,28071,35,0,0,0,0,0,15,0.28071,50.28071,
602,Mahwah Township,0233001-011,Installation of a new Nilson Ave. Booser Pump Station,24062,50,0,0,0,0,0,0,0.24062,50.24062,
603,South Orange Village,0719001-002,Well 17 Emergency Power,16198,45,0,0,5,0,0,0,0.16964,50.16964,
604,Bordentown City,0303001-005,Construct a 1.25 MG storage tank,15831,50,0,0,0,0,0,0,0.15831,50.15831,
605,Verona Township,0720001-003,Construction of a new Fairview Ave tank,13641,50,0,0,0,0,0,0,0.13641,50.13641,
605,Verona Township,0720001-008,CLARIDGE PUMP PROJECT,-,50,0,0,0,0,0,0,0.13641,50.13641,
606,East Hanover Township,1410001-005,Construction of a new water storage tank,10000,50,0,0,0,0,0,0,0.1,50.1,
608,Harding Woods Mobile Home Community,1710001-002,Installation of new water meters in Harding Woods Mobile Home Park,1103,35,0,0,0,0,0,15,0.01103,50.01103,
609,Lake Glenwood Village,1922010-003,"Installation of a new 8,000 gal. underground concrete water storage tank",250,50,0,0,0,0,0,0,0.0025,50.0025,
610,North Shore Water Association,1904004-003,Installation of storage tank,105,50,0,0,0,0,0,0,0.00105,50.00105,
611,Colby Homeowners Association Water Company,1904007-002,Installation of a new storage tank,75,50,0,0,0,0,0,0,0.00075,50.00075,
613,Washington Township Municipal Utilities Authority,0818004-008,"Installation of solar system for wells # 18, 19 & 20",48559,45,0,0,0,0,0,0,0.48559,45.48559,
614,Vineland City,0614003-015,Well No. 17 Installation,36848,15,0,15,0,0,0,15,0.36848,45.36848,BIL (GEN)
615,Jackson Township Municipal Utilities Authority,1511001-008,"Installation of a water main and booster station to interconnect the
Legler system",32600,30,0,15,0,0,0,0,0.326,45.326,
616,Garfield City,0221001-003,Rehabilitation of Well 1A,29780,15,0,0,0,0,0,30,0.2978,45.2978,BIL (GEN)
617,East Windsor Municipal Utilities Authority,1101002-004,Installation of solar panels at 2 facilities,27200,45,0,0,0,0,0,0,0.272,45.272,
618,Burlington Township,0306001-003,Purchase of water meters to replace existing meters-Phases 2 to 4,22000,25,0,20,0,0,0,0,0.22,45.22,
620,Pompton Lakes Municipal Utilities Authority,1609001-004,Installation of emergency generator at wells,11435,45,0,0,0,0,0,0,0.11435,45.11435,
621,Freehold Borough,1315001-001,Replace and construct two well houses that protect well pumps,11029,15,0,15,0,0,0,15,0.11029,45.11029,BIL (GEN)
622,Pemberton Township,0329004-005,Replacing Well #4 with Well #14,10815,15,0,15,0,0,0,15,0.10815,45.10815,BIL (GEN)
622,Pemberton Township,0329004-010,Conversion of test well #14 to production well,10815,15,0,15,0,0,0,15,0.10815,45.10815,BIL (GEN)
623,Pine Hill Municipal Utilities Authority,0428002-005,PRM Backup Well #4 and Decommision of Wells #6 & #7,10233,15,0,0,0,0,0,30,0.10233,45.10233,BIL (GEN)
624,Brigantine City,0103001-501,Installation of Generators at well,11117,45,0,0,0,0,0,0,0.0945,45.0945,
625,Tuckerton Borough,1532002-001,2022 Rehabilitation of Well #3 and Well #4,3347,15,0,15,0,0,0,0,0.06285,45.06285,
626,Washington Township Municipal Utilities Authority,1438004-002,WTMUA - Water System Improvements,7500,45,0,0,0,0,0,0,0.04866,45.04866,
628,West Milford Municipal Utilities Authority,1615016-002,Replace Generator,1625,45,0,0,0,0,0,0,0.01625,45.01625,
628,West Milford Municipal Utilities Authority,1615016-002/500,Milford Emergency Power Generators,1625,45,0,0,0,0,0,0,0.01625,45.01625,
630,Forest Lakes Water Company,1904003-001,Installation of two generators,1500,45,0,0,0,0,0,0,0.015,45.015,
631,West Milford Municipal Utilities Authority,1615018-002,Replace Generator,1260,45,0,0,0,0,0,0,0.0126,45.0126,
631,West Milford Municipal Utilities Authority,1615018-002/500,Bald Eagle Emergency Power Generators,1260,45,0,0,0,0,0,0,0.0126,45.0126,
632,West Milford Municipal Utilities Authority,1615014-001/500,Crescent Park Emergency Power Generators,700,45,0,0,0,0,0,0,0.007,45.007,
632,West Milford Municipal Utilities Authority,1615014-001,Replace Generator,700,45,0,0,0,0,0,0,0.007,45.007,
633,West Milford Municipal Utilities Authority,1615012-002/500,Awosting Emergency Power Generators,635,45,0,0,0,0,0,0,0.00635,45.00635,
633,West Milford Municipal Utilities Authority,1615012-002,Replace Generator,635,45,0,0,0,0,0,0,0.00635,45.00635,
634,West Milford Municipal Utilities Authority,1615002-002/500,Greenbrook Emergency Power Generators,600,45,0,0,0,0,0,0,0.006,45.006,
634,West Milford Municipal Utilities Authority,1615002-002,Replace Generator,600,45,0,0,0,0,0,0,0.006,45.006,
635,West Milford Municipal Utilities Authority,1615001-002/500,Birch Hill Emergency Power Generator,180,45,0,0,0,0,0,0,0.0018,45.0018,
635,West Milford Municipal Utilities Authority,1615001-002,Replace Generator,180,45,0,0,0,0,0,0,0.0018,45.0018,
636,West Milford Municipal Utilities Authority,1615006-002/500,Parkway Emergency Power Generator,805,45,0,0,0,0,0,0,0.00115,45.00115,
636,West Milford Municipal Utilities Authority,1615006-002,Replace Generator,115,45,0,0,0,0,0,0,0.00115,45.00115,
637,"NJ American Water Company, Inc.",1345001-007,Monterey Iron Removal,289553,40,0,0,0,0,0,0,2.89553,42.89553,
638,"NJ American Water Company, Inc.",2004002-009,Installation of New Water Meters,610000,35,0,0,0,0,0,0,6.1,41.1,
639,Netcong Borough,1428001-001,Water System Assment Management Plan,3250,1,0,15,5,0,0,0,0.03342,41.03342,
640,Belleville Township,0701001-005,Replacement of Water meters,35928,25,0,0,0,0,0,15,0.35928,40.35928,
641,"NJ American Water Company, Inc.",0508001-007,Replacement of Water Meters,28071,25,0,0,0,0,0,15,0.28071,40.28071,
642,South Orange Village,0719001-007,Replace Pressure Reducing Valves,16198,30,0,0,5,0,0,0,0.16964,40.16964,
643,East Hanover Township,1410001-001,Renovation of treatment plant - addition of ion exchange for well #1 & #2,10000,40,0,0,0,0,0,0,0.1,40.1,
644,Florham Park Borough,1411001-001,Construction of Water Treatment Facility for removal of manganese,8857,40,0,0,0,0,0,0,0.08857,40.08857,
645,High Bridge Borough,1014001-002,Improvements to the High Bridge Water System,3900,25,0,0,0,0,15,0,0.033,40.033,
646,"NJ American Water Company, Inc.",1345001-014,Installation of New Water Meters,289553,35,0,0,0,0,0,0,2.89553,37.89553,
647,"NJ American Water Company, Inc.",0327001-012,Installation of New Water Meters,253045,35,0,0,0,0,0,0,2.53045,37.53045,
648,Brick Township Municipal Utilities Authority,1506001-007,Chlorine Disinfection System Relocation,100000,1,0,20,0,0,0,15,1.34108,37.34108,
649,"NJ American Water Company, Inc.",0712001-014,Installation of New Water Meters,217230,35,0,0,0,0,0,0,2.1723,37.1723,
650,Willingboro Municipal Utilities Authority,0338001-005,Energy Savings Improvement Program (DW),35000,1,0,20,0,0,0,15,0.35,36.35,
651,Bellmawr Borough,0404001-003,"Replacement of water mains will be needed to serve a brownfield
redevelopment area.",11583,1,0,0,0,5,0,30,0.11583,36.11583,BIL (GEN)
651,Bellmawr Borough,0404001-004,"A new 0.3 MG storage tank is needed to serve a Brownfield
redevelopment area.",11583,1,0,0,0,5,0,30,0.11583,36.11583,BIL (GEN)
652,"NJ American Water Company, Inc.",0323001-003,Installation of New Water Meters,42035,35,0,0,0,0,0,0,0.42035,35.42035,
653,Willingboro Municipal Utilities Authority,0338001-013,Replacement of Well No. 1,34731,15,0,20,0,0,0,0,0.37731,35.37731,
654,Burlington Township,0306001-002,Rehabilitate well #4,22000,15,0,20,0,0,0,0,0.22,35.22,
655,South Orange Village,0719001-004,Farrell Field (Walton Ave & Audley St.) Interconnection Rehab.,16198,30,0,0,5,0,0,0,0.16964,35.16964,
656,South Orange Village,0719001-003,South Orange Ave and Holland Road Interconnection Rehabilitation,16198,30,0,0,5,0,0,0,0.16198,35.16198,
657,"NJ American Water Company, Inc.",1605001-003,Installation of New Water Meters,11247,35,0,0,0,0,0,0,0.11247,35.11247,
658,Collier Services,1328300-005,"Install new meters and water conservation devices at Collier Services
Bldgs",350,35,0,0,0,0,0,0,0.0035,35.0035,
659,"NJ American Water Company, Inc.",0712001-004,Interconnection of Twin Lake and Short Hill Systems,217230,30,0,0,0,0,0,0,2.1723,32.1723,
660,Garfield City,0221001-007,Upgrade to SCADA,29780,1,0,0,0,0,0,30,0.2978,31.2978,BIL (GEN)
661,Little Egg Harbor Municipal Utilities Authority,1516001-500,Radio Road Water Treatment Plant,20065,1,0,15,0,0,0,15,0.20065,31.20065,BIL (GEN)
662,Hammonton Town,0113001-010,SCADA System/Water Meter Replacment Proj,11300,1,0,15,0,0,0,15,0.113,31.113,
663,Pemberton Township,0329004-008,Various Water System Improvements,10815,1,0,15,0,0,0,15,0.10815,31.10815,BIL (GEN)
664,"NJ American Water Company, Inc.",2004002-010,Replacement of Water Meters,610000,25,0,0,0,0,0,0,6.1,31.1,
665,Lower Township Municipal Utilities Authority,0505002-001,Extension of water mains to service homes that are on private wells,9700,1,0,0,0,0,0,30,0.097,31.097,BIL (GEN)
665,Lower Township Municipal Utilities Authority,0505002-002,Installation of well #10,9700,1,0,0,0,0,0,30,0.097,31.097,BIL (GEN)
666,Franklin Township - Gloucester,1808001-007,Construction of an interconnection w/ New Brunswick City,50000,30,0,0,0,0,0,0,0.5,30.5,
667,Jackson Township Municipal Utilities Authority,1511001-006,Construction of back up well for Manhattan Water Treatment Plant,32600,15,0,15,0,0,0,0,0.326,30.326,
668,"NJ American Water Company, Inc.",0508001-003,Third Street Well Replacement,28071,15,0,0,0,0,0,15,0.28071,30.28071,
669,Berlin Borough,0405001-007,"Redrilling of well, approximately 450 feet deep",13121,15,0,15,0,0,0,0,0.13121,30.13121,
670,Pompton Lakes Municipal Utilities Authority,1609001-010,Pompton Ave Water Main Installation,70,30,0,0,0,0,0,0,0.11435,30.11435,
671,Hopatcong Borough,1912001-008,"Install new well and construct associated treatment facilities, SCADA
system, generator & mains",7900,15,0,15,0,0,0,0,0.079,30.079,
671,Hopatcong Borough,1912001-010,"Construction of a new surface water treatment plant for reactivated Elbo
Pt well",7900,15,0,15,0,0,0,0,0.079,30.079,
672,Hightstown Borough,1104001-002,"New Well #3 - Upgrades to plant, well house and pump",5567,15,0,15,0,0,0,0,0.05567,30.05567,
673,National Park Borough,0812001-002,Redevelopment/ Rehabilitation to Well 5 with a new well house,3289,15,0,0,0,0,0,15,0.03289,30.03289,BIL (GEN)
674,Sparta Township,1918003-001,Installation of a water main interconnection,1618,30,0,0,0,0,0,0,0.01618,30.01618,
675,Fountainhead Properties Incorporate,1511013-003,Rehabilitation of well #2,280,15,0,15,0,0,0,0,0.0028,30.0028,
675,Fountainhead Properties Incorporate,1511013-004,Improvements/Replacement of well #1,280,15,0,15,0,0,0,0,0.0028,30.0028,
676,Lake Glenwood Village,1922010-005,New well #8 for upper system,250,15,0,15,0,0,0,0,0.0025,30.0025,
677,"NJ American Water Company, Inc.",1345001-015,Replacement of Water Meters,289553,25,0,0,0,0,0,0,2.89553,27.89553,
678,"NJ American Water Company, Inc.",0327001-013,Replacement of Water Meters,253045,25,0,0,0,0,0,0,2.53045,27.53045,
679,"NJ American Water Company, Inc.",0712001-015,Replacement of Water Meters,217230,25,0,0,0,0,0,0,2.1723,27.1723,
680,"NJ American Water Company, Inc.",1103002-001,Replacement of Water Meters,120000,25,0,0,0,0,0,0,1.2,26.2,
681,Allentown Borough,1302001-001,Asset Management Plan,1788,1,0,15,0,0,0,0,0.02,26.02,
682,Ridgewood Village,0215001-024,"Replacement of 14,629 water meters with radio frequency meters",61700,25,0,0,0,0,0,0,0.617,25.617,
683,Franklin Township - Gloucester,1808001-005,Replace Water Meters,50000,25,0,0,0,0,0,0,0.5,25.5,
684,North Brunswick Township,1215001-006,Water Meter Replacement,42392,25,0,0,0,0,0,0,0.42392,25.42392,
685,"NJ American Water Company, Inc.",0323001-004,Replacement of Water Meters,42035,25,0,0,0,0,0,0,0.42035,25.42035,
686,Margate City,0116001-002,Margate Water Meter Project,22333,25,0,0,0,0,0,0,0.223333,25.22333,
687,Lyndhurst Township,0232001-003,Township Wide Water Meter Replacement Program,22453,25,0,0,0,0,0,0,0.205,25.205,
688,Bordentown City,0303001-001,Water Meter Replacement Program,16663,25,0,0,0,0,0,0,0.15821,25.15821,
689,Highland Park Borough,1207001-001,2018-19 Water System Improvements,14245,25,0,0,0,0,0,0,0.14,25.14,
690,Clinton Town,1005001-007,Replace Water Meters,12500,25,0,0,0,0,0,0,0.125,25.125,
691,"NJ American Water Company, Inc.",1605001-004,Replacement of Water Meters,11247,25,0,0,0,0,0,0,0.11247,25.11247,
692,Oakland Borough,0220001-002,Replace 4600 Water Meters,12959,25,0,0,0,0,0,0,0.05038,25.05038,
693,Mine Hill Township,1420001-004,Replace Water Meters,3400,25,0,0,0,0,0,0,0.034,25.034,
694,Pine Beach Borough,1522001-001,"Merion Ave. Well Replacement / Townwide Water Meter Replacement
Project",2080,25,0,0,0,0,0,0,0.0208,25.0208,
695,Island Heights Borough,1510001-005,Water Meter Replacement Project,1521,25,0,0,0,0,0,0,0.0175,25.0175,
696,Montclair Township,0713001-008,Nishuane Well Production & Treatment Facility,38977,15,0,0,5,0,0,0,0.38977,20.38977,
696,Montclair Township,0713001-006,Redevelop Glenfield Wells,38977,15,0,0,5,0,0,0,0.38977,20.38977,
698,Matawan Borough,1329001-003,Rehabilitate the Boroughs two wells,8810,15,0,0,5,0,0,0,0.0881,20.0881,
699,"NJ American Water Company, Inc.",1345001-011,Drill two additional wells to increase the capacity at Yellowbrook WTP,289553,15,0,0,0,0,0,0,2.89553,17.89553,
700,Jackson Township Municipal Utilities Authority,1511001-007,Ancillary Improvements to the Old Manhattan Water Treatment Facility,32600,1,0,15,0,0,0,0,0.326,16.326,
701,Hopatcong Borough,1912001-004,Small System Asset Management,7224,1,0,15,0,0,0,0,0.07224,16.07224,
704,Parsippany Troy Hills Township,1429001-002,Replacement Well 20-R,56000,15,0,0,0,0,0,0,0.504,15.504,
706,Marlboro Township,1328002-004,"New Stand-by Well 5A (Tennent Rd Treatment Plant & Booster Pump
Station)",27000,15,0,0,0,0,0,0,0.2948,15.2948,
706,Marlboro Township,1328002-007,Well #2 Replacement,41502,15,0,0,0,0,0,0,0.2948,15.2948,
706,Marlboro Township,1328002-009,Well #1 Replacement,41502,15,0,0,0,0,0,0,0.2948,15.2948,
707,Lacey Township,1512001-001,Construction of two test wells # 7 and 8,26240,15,0,0,0,0,0,0,0.2624,15.2624,
707,Lacey Township,1512001-002,Upgrade of WTP to make wells # 7 and 8 operational,26240,15,0,0,0,0,0,0,0.2624,15.2624,
708,South River Borough,1223001-003,Rehabilitation of Borough Wells,16023,15,0,0,0,0,0,0,0.16,15.16,
711,Pemberton Township,0329004-001,Pinelands Water Infrastructure,2500,15,0,0,0,0,0,0,0.12378,15.12378,BIL (GEN)
712,East Hanover Township,1410001-002,New Water Treatment Plant for Well 6,10000,15,0,0,0,0,0,0,0.1,15.1,
713,Lavallette Borough,1515001-002,Replacement of Potable Water Supply - Well # 3,9525,15,0,0,0,0,0,0,0.0952467,15.09525,
714,Oakland Borough,0220001-003,Well 9 - Diesel Generator,12959,15,0,0,0,0,0,0,0.05038,15.05038,
714,Oakland Borough,0220001-001,Construct new Well 10A as backup for Well 10,12959,15,0,0,0,0,0,0,0.05038,15.05038,
715,Washington Township Municipal Utilities Authority,1438004-003,WTMUA - Proposed Well SM-23 and Water Treatment Facility,-,15,0,0,0,0,0,0,0.04866,15.04866,
716,Ocean Gate Borough,1521001-003,Well Water Construction/Drilling a new well,2800,15,0,0,0,0,0,0,0.032,15.032,BIL (GEN)
717,Harvey Cedars Borough,1509001-002,Installation of a Water Monitoring Well,3165,15,0,0,0,0,0,0,0.0316467,15.03165,
718,Pine Beach Borough,1522001-002,"Merion Ave. Well Replacement / Townwide Water Meter Replacement
Project",2080,15,0,0,0,0,0,0,0.0208,15.0208,
719,West Milford Municipal Utilities Authority,1615016-003,Rehabilitation of Well,1625,15,0,0,0,0,0,0,0.01625,15.01625,
720,Farmingdale Borough,1314001-001,"Redevelop well #3; upgrade control system for well #3 & 4, misc
improvements to the WTP",1500,15,0,0,0,0,0,0,0.015,15.015,BIL (GEN)
721,West Milford Municipal Utilities Authority,1615018-003,Rehabilitation of Well,1260,15,0,0,0,0,0,0,0.0126,15.0126,
722,"NJ American Water Company, Inc.",0809001-001,Beckett Well Replacement,1085,15,0,0,0,0,0,0,0.01085,15.01085,
723,West Milford Municipal Utilities Authority,1615012-003,Rehabilitation of Well,635,15,0,0,0,0,0,0,0.00635,15.00635,
724,West Milford Municipal Utilities Authority,1615001-003,Rehabilitation of Well,180,15,0,0,0,0,0,0,0.0018,15.0018,
725,West Milford Municipal Utilities Authority,1615006-003,Rehabilitation of Well,115,15,0,0,0,0,0,0,0.00115,15.00115,
726,Colby Homeowners Association Water Company,1904007-001,Installation of back up well,75,15,0,0,0,0,0,0,0.00075,15.00075,
727,South Orange Village,0719001-011,Flush Valve Removal,16198,1,0,0,5,0,0,0,0.16198,6.16198,
728,"NJ American Water Company, Inc.",1345001-004,Howell Water Mains - Freewood Acres,335449,1,0,0,0,0,0,0,3.35449,4.35449,
729,"NJ American Water Company, Inc.",0712001-013,Installation of water mains at redevelopment project,217230,1,0,0,0,0,0,0,2.1723,3.1723,
731,Washington Township Municipal Utilities Authority,0818004-002,WTMUA Complex,48559,1,0,0,0,0,0,0,0.48,1.48,
732,Sayreville Borough,1219001-005,"Construct new transmission mains in the northeast section of the
Borough",40377,1,0,0,0,0,0,0,0.40377,1.40377,
734,Marlboro Township,1328002-501/001,portable genertor @ Harbor Rd & Tennent Rd WTP,40191,1,0,0,0,0,0,0,0.40191,1.40191,
735,Belleville Township,0701001-007,Township of Belleville Asset Management Plan,36383,1,0,0,0,0,0,0,0.35129,1.35129,
736,Mahwah Township,0233001-009,Construction of two new wells,24062,1,0,0,0,0,0,0,0.24062,1.24062,
737,Montville Township,1421003-001,"Installation of 2,300 LF of 8 inch water main and appurtances on Hillcrest
and Upper Mountain Avenues",21000,1,0,0,0,0,0,0,0.21,1.21,
738,Verona Township,0720001-001,Water Utility Asset Management Plan,14572,1,0,0,0,0,0,0,0.13641,1.13641,
739,Seaside Park Borough,1527001-003,Water Asset Management Plan,3753,1,0,0,0,0,0,0,0.131,1.131,BIL (GEN)
740,Jefferson Township,1414011-002,Water System Asset Management Plan,8500,1,0,0,0,0,0,0,0.085,1.085,
741,Spotswood Borough,1224001-002,SPOTSWOOD WATER MASTER PLAN,8257,1,0,0,0,0,0,0,0.083,1.083,
743,Woodland Park Borough,1616001-001,Extension of water mains to service homes that are on private wells,5030,1,0,0,0,0,0,0,0.0503,1.0503,
745,High Bridge Borough,1014001-001,Asset Management Plan for the High Bridge Water System,3900,1,0,0,0,0,0,0,0.039,1.039,
746,Pennington Borough,1108001-004,Asset Management Plan for Pennington Water Utility ',2585,1,0,0,0,0,0,0,0.026,1.026,
747,Pennington Borough,1108001-003,Asset Management Plan for Pennington Water Utility,2585,1,0,0,0,0,0,0,0.02585,1.02585,
748,Sea Girt Borough,1344001-005,Sea Girt Borough CMMS,2552,1,0,0,0,0,0,0,0.02552,1.02552,
749,Hardyston Municipal Utilities Authority,1911006-003,Asset Management Plan,1963,1,0,0,0,0,0,0,0.01963,1.01963,
750,Waterford Township,0435003-002,Haines Blvd Water Extension,-,1,0,0,0,0,0,0,0.01184,1.01184,
