APPLICANT NAME,REGION,DEP PROJECT RATING,STREET ADDRESS,CITY,COUNTY,PWSID,PROJRANK,FUND SOURCE,PROJECT COST,MTGDATE,PROJECT TYPE,PROJ. DESCRIPTION,PROB. DESCRIPTION,POPULATION,PV RATING,GREEN PROJECT,GREEN CATEGORY,BUSINESS CASE,GREEN AMOUNT
PENNSYLVANIA AMERICAN - NAZARETH LSLR PHASE 2,II,0,"20 CENTER STREET, BOX 128",WIND GAP,NORTHAMPTON,3480055,83,APPLICATION PENDING,"$960,176",,LSL,"The proposed project includes replacement of 56 utility owned/private owned lead and galvanized lead impacted water service lines (complete water service line replacement), all located within the Borough of Nazareth. The proposed water service line replacement process includes excavating an approximate 5’x5’ pit at the existing water main generally within the paved roadway and an approximate 5’x5’ pit at the curb box generally near the public/private property line on the private property side of the roadway curb line. From those pits, it is proposed that the contractor will disconnect the existing lead line and pull a new service line through the same trench line between the two pits (main to curb box) and between the last pit and the home (curb box to home) for a complete lead service line replacement from the house to the watermain. Project components include 3/4"" type k copper service line replacement piping installed via trenched access pits and trenchless installations, restoration, traffic control and erosion and sediment control","Project will help eliminate lead form the water supply and improve the situation for renters – many of whom are in lower socio-economic groups, on fixed or single-family incomes, and/or with children or elderly populations requiring assistance. This project directly increases public awareness of the risks and sources of lead exposure to all individuals but particularly to low income, vulnerable, and sensitive populations.","23,763",,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN - NAZARETH LSLR PHASE 1,II,0,"20 CENTER STREET, BOX 128",WIND GAP,NORTHAMPTON,3480055,84,APPLICATION PENDING,"$2,228,850",,LSL,"The proposed project includes replacement of 130 utility owned/private owned lead and galvanized lead impacted water service lines (complete water service line replacement), all located within the Borough of Nazareth. The proposed water service line replacement process includes excavating an approximate 5’x5’ pit at the existing water main generally within the paved roadway and an approximate 5’x5’ pit at the curb box generally near the public/private property line on the private property side of the roadway curb line. From those pits, it is proposed that the contractor will disconnect the existing lead line and pull a new service line through the same trench line between the two pits (main to curb box) and between the last pit and the home (curb box to home) for a complete lead service line replacement from the house to the watermain. Project components include 3/4"" type k copper service line replacement piping installed via trenched access pits and trenchless installations, restoration, traffic control and erosion and sediment control","Project will help eliminate lead form the water supply and improve the situation for renters – many of whom are in lower socio-economic groups, on fixed or single-family incomes, and/or with children or elderly populations requiring assistance. This project directly increases public awareness of the risks and sources of lead exposure to all individuals but particularly to low income, vulnerable, and sensitive populations.","23,763",,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN - MECHANICSBURG LSLR PHASE 1,III,0,852 WESLEY DRIVE,MECHANICSBURG,CUMBERLAND,7210029,85,APPLICATION PENDING,"$7,199,220",,LSL,"The proposed project includes replacement of 420 utility owned/private owned lead and galvanized lead impacted water service lines (complete water service line replacement), all located within the Borough of Mechanicsburg. The proposed water service line replacement process includes excavating an approximate 5’x5’ pit at the existing water main generally within the paved roadway and an approximate 5’x5’ pit at the curb box generally near the public/private property line on the private property side of the roadway curb line. From those pits, it is proposed that the contractor will disconnect the existing lead line and pull a new service line through the same trench line between the two pits (main to curb box) and between the last pit and the home (curb box to home) for a complete lead service line replacement from the house to the watermain. Project components include 3/4"" type k copper service line replacement piping installed via trenched access pits and trenchless installations, restoration, traffic control and erosion and sediment control",System has a number of services (line between main and the water meter in the residence) that are at least partially constructed of lead pipe. Lead is a large health issue with guidance to eliminate lead throughout the water system. Project will eliminate lead and eliminate chance of lead poisoning within the service area.,"93,368",,No,N/A,N/A,$0
ERIE CITY WATER AUTHORITY - CUSTOMER SIDE GALVANIZED LINE REPLACEMENT - PHASE 6,VI,0,340 WEST BAYFRONT PARKWAY,ERIE,ERIE,6250028,86,APPLICATION PENDING,"$10,000,000",,LSL,"Phase 6 will empower Erie City Water Authority to remove many customer side galvanized requiring replacement (wrought iron) service lines from the curb valve up to the location where the service line enters the structure. These customer side only service line replacements are for properties at which a lead gooseneck was historically in place on the public water service connection, and where the public side of the service line was historically replaced over prior decades, most often due to leaks or ahead of street paving projects. Secondarily it will also result in the replacement of aged, deteriorated, and often leaky infrastructure. With this proposed project, Erie City Water Authority is hereby planning to replace approximately 1,250 total galvanized requiring replacement customer side services within the City of Erie over a period of three years.",Authority has a number of services that are at least partially constructed of lead pipe and or downstream galvanized service lines. Lead is a large health issue with guidance to eliminate lead throughout the water system. Project will help eliminate lead and eliminate chance of lead poisoning within the service area.,"190,000",,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN - PITTSBURGH LSLR - PHASE 5,V,0,410 COOKE LANE,PITTSBURGH,ALLEGHENY,5020039,87,APPLICATION PENDING,"$2,815,880",,LSL,This project will replace a total of 164 lead service lines to include the privately-owned portion when encountered.,System has a number of services lines that are at least partially constructed of lead pipe. Lead is a large health issue with guidance to eliminate lead throughout the water system. Project will help eliminate lead and eliminate chance of lead poisoning within the service area.,"615,543",,No,N/A,N/A,$0
ERIE CITY WATER AUTHORITY - CUSTOMER SIDE GALVANIZED LINE REPLACEMENT - PHASE 5,VI,0,340 WEST BAYFRONT PARKWAY,ERIE,ERIE,6250028,88,APPLICATION PENDING,"$10,000,000",,LSL,"Phase 5 will empower Erie City Water Authority to remove many customer side galvanized requiring replacement (wrought iron) service lines from the curb valve up to the location where the service line enters the structure. These customer side only service line replacements are for properties at which a lead gooseneck was historically in place on the public water service connection, and where the public side of the service line was historically replaced over prior decades, most often due to leaks or ahead of street paving projects. Secondarily it will also result in the replacement of aged, deteriorated, and often leaky infrastructure. With this proposed project, Erie City Water Authority is hereby planning to replace approximately 1,250 total galvanized requiring replacement customer side services within the City of Erie over a period of three years.",Authority has a number of services that are at least partially constructed of lead pipe and or downstream galvanized service lines. Lead is a large health issue with guidance to eliminate lead throughout the water system. Project will help eliminate lead and eliminate chance of lead poisoning within the service area.,"190,000",,No,N/A,N/A,$0
CITY OF PHILADELPHIA 2026 PART 2,I,0,1101 MARKET STREET,PHILADELPHIA,PHILADELPHIA,1510001,89,APPLICATION PENDING,"$9,975,000",,LSL,"This project includes the replacement of approximately 950 residential private lead lines within the City of Philadelphia. This project will remove and replace lead and galvanized steel drinking water service lines with new copper service lines. This project will be a replacement of in-kind equipment of existing lead service lines within the PWD service area. No new buildings or structures will be constructed, and the existing building structures at each service line replacement site will not be modified. The replacement will include restoration, customer outreach pre- and post-replacement, additional communications and outreach, and additional tap sampling.","Project will help eliminate lead form the water supply and improve the situation for renters – many of whom are in lower socio-economic groups, on fixed or single-family incomes, and/or with children or elderly populations requiring assistance. This project directly increases public awareness of the risks and sources of lead exposure to all individuals but particularly to low income, vulnerable, and sensitive populations.","1,600,000",,No,N/A,N/A,$0
CITY OF PHILADELPHIA 2026 PART 1,I,0,1101 MARKET STREET,PHILADELPHIA,PHILADELPHIA,1510001,90,APPLICATION PENDING,"$9,975,000",,LSL,"This project includes the replacement of approximately 950 residential private lead lines within the City of Philadelphia. This project will remove and replace lead and galvanized steel drinking water service lines with new copper service lines. This project will be a replacement of in-kind equipment of existing lead service lines within the PWD service area. No new buildings or structures will be constructed, and the existing building structures at each service line replacement site will not be modified. The replacement will include restoration, customer outreach pre- and post-replacement, additional communications and outreach, and additional tap sampling.","Project will help eliminate lead form the water supply and improve the situation for renters – many of whom are in lower socio-economic groups, on fixed or single-family incomes, and/or with children or elderly populations requiring assistance. This project directly increases public awareness of the risks and sources of lead exposure to all individuals but particularly to low income, vulnerable, and sensitive populations.","1,600,000",,No,N/A,N/A,$0
CITY OF PHILADELPHIA 2025 PART 2,I,0,1101 MARKET STREET,PHILADELPHIA,PHILADELPHIA,1510001,91,APPLICATION PENDING,"$9,975,000",,LSL,"This project includes the replacement of approximately 950 residential private lead lines within the City of Philadelphia. This project will remove and replace lead and galvanized steel drinking water service lines with new copper service lines. This project will be a replacement of in-kind equipment of existing lead service lines within the PWD service area. No new buildings or structures will be constructed, and the existing building structures at each service line replacement site will not be modified. The replacement will include restoration, customer outreach pre- and post-replacement, additional communications and outreach, and additional tap sampling.","Project will help eliminate lead form the water supply and improve the situation for renters – many of whom are in lower socio-economic groups, on fixed or single-family incomes, and/or with children or elderly populations requiring assistance. This project directly increases public awareness of the risks and sources of lead exposure to all individuals but particularly to low income, vulnerable, and sensitive populations.","1,600,000",,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN - NEW CASTLE LSLR - PHASE 3,VI,0,2736 ELLWOOD ROAD,NEW CASTLE,LAWRENCE,6370034,92,APPLICATION PENDING,"$754,028",,LSL,"The proposed project includes replacement of 44 utility owned/private owned lead and galvanized lead impacted water service lines (complete water service line replacement), all located within the New Castle City, Census Tracts 1 and 3. The proposed water service line replacement process includes excavating an approximate 5’x5’ pit at the existing water main generally within the paved roadway and an approximate 5’x5’ pit at the curb box generally near the public/private property line on the private property side of the roadway curb line. From those pits, it is proposed that the contractor will disconnect the existing lead line and pull a new service line through the same trench line between the two pits (main to curb box) and between the last pit and the home (curb box to home) for a complete lead service line replacement from the house to the watermain. Project components include 3/4"" type k copper service line replacement piping installed via trenched access pits and trenchless installations, restoration, traffic control and erosion and sediment control",System has a number of owned/privately owned lead and galvanized lead impacted water service lines that are at least partially constructed of lead pipe. Lead is a large health issue with guidance to eliminate lead throughout the water system. Project will help eliminate lead and eliminate chance of lead poisoning within the service area.,"42,000",,No,N/A,N/A,$0
PITTSBURGH WATER AND SEWER AUTHORITY,V,0,441 SMITHFIELD ST.,PITTSBURGH,ALLEGHENY,5020038,93,APPLICATION PENDING,"$27,490,000",,LSL,"PWSA will continue the Neighborhood LSLR program. Neighborhoods will be selected based on a prioritization formula developed by PWSA in consultation with our Community Lead Response Advisory Committee (CLRAC). Based on this prioritization model run, PWSA estimates that the project will replace around 580 public and about 1,100 private lead service lines in a pool of 3,500 potential homes. Applying these criteria, the requested funding will allow LSLRs within portions of about 11 neighborhoods. The 3,500 sites are identified as potential LSL replacement sites according to Pittsburgh Water's LSL inventory. PWSA’s approach is to replace any lead found on both the public and private side. Neighborhoods projected to be served by this project are: Homewood, Oakland, Garfield, Friendship, Lincoln-Lemington-Belmar, Southside Slopes, Central Northside, Marshall Shadeland, Mount Washington, and Squirrel Hill.",PWSA has a number of services (line between main and the water meter in the residence) that are at least partially constructed of lead pipe. Lead is a large health issue with guidance to eliminate lead throughout the water system. Project will eliminate lead and eliminate chance of lead poisoning within the service area.,"370,000",,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN - MILTON LSLR PHASE 1,II,0,800 W HERSHEY PARK DR,HERSHEY,NORTHAMPTON,4490023,94,APPLICATION PENDING,"$548,704",,LSL,"The proposed project includes replacement of 32 utility owned/private owned lead and galvanized lead impacted water service lines (complete water service line replacement), all located within the Borough of Milton. The proposed water service line replacement process includes excavating an approximate 5’x5’ pit at the existing water main generally within the paved roadway and an approximate 5’x5’ pit at the curb box generally near the public/private property line on the private property side of the roadway curb line. From those pits, it is proposed that the contractor will disconnect the existing lead line and pull a new service line through the same trench line between the two pits (main to curb box) and between the last pit and the home (curb box to home) for a complete lead service line replacement from the house to the watermain. Project components include 3/4"" type k copper service line replacement piping installed via trenched access pits and trenchless installations, restoration, traffic control and erosion and sediment control","Project will help eliminate lead form the water supply and improve the situation for renters – many of whom are in lower socio-economic groups, on fixed or single-family incomes, and/or with children or elderly populations requiring assistance. This project directly increases public awareness of the risks and sources of lead exposure to all individuals but particularly to low income, vulnerable, and sensitive populations.","23,763",,No,N/A,N/A,$0
